State_County,State,County,Levels_Smokers,Levels_COPD
"Ouachita, Arkansas",Arkansas,Ouachita,22.8,11.4
"Independence, Arkansas",Arkansas,Independence,21.5,10.0
"Miller, Arkansas",Arkansas,Miller,21.6,9.7
"Sebastian, Arkansas",Arkansas,Sebastian,19.4,9.0
"Montgomery, Arkansas",Arkansas,Montgomery,22.6,13.0
"Madison, Alabama",Alabama,Madison,15.7,6.7
"Sutter, California",California,Sutter,14.4,6.2
"Gunnison, Colorado",Colorado,Gunnison,13.1,4.5
"Yavapai, Arizona",Arizona,Yavapai,15.5,9.3
"San Bernardino, California",California,San Bernardino,13.3,4.9
"Alpine, California",California,Alpine,14.7,8.4
"Howard, Arkansas",Arkansas,Howard,21.0,10.1
"Amador, California",California,Amador,13.5,7.4
"Jefferson, Colorado",Colorado,Jefferson,13.4,4.5
"Elmore, Alabama",Alabama,Elmore,20.2,8.1
"Cleburne, Arkansas",Arkansas,Cleburne,22.0,11.1
"Escambia, Alabama",Alabama,Escambia,23.8,11.1
"Alamosa, Colorado",Colorado,Alamosa,15.7,5.5
"Lamar, Alabama",Alabama,Lamar,23.2,12.0
"Coffee, Alabama",Alabama,Coffee,20.2,8.4
"Yell, Arkansas",Arkansas,Yell,22.6,10.6
"Mesa, Colorado",Colorado,Mesa,17.1,6.4
"Little River, Arkansas",Arkansas,Little River,21.7,10.6
"Tulare, California",California,Tulare,14.9,5.9
"Southeast Fairbanks, Alaska",Alaska,Southeast Fairbanks,21.0,7.2
"Nevada, Arkansas",Arkansas,Nevada,21.7,10.3
"Hoonah-Angoon, Alaska",Alaska,Hoonah-Angoon,21.5,9.0
"Sumter, Alabama",Alabama,Sumter,20.4,9.8
"San Diego, California",California,San Diego,11.0,4.6
"Scott, Arkansas",Arkansas,Scott,24.0,12.3
"Delta, Colorado",Colorado,Delta,18.0,8.6
"Colusa, California",California,Colusa,13.5,5.5
"Kit Carson, Colorado",Colorado,Kit Carson,17.0,6.9
"Coconino, Arizona",Arizona,Coconino,16.7,5.9
"Drew, Arkansas",Arkansas,Drew,19.9,9.0
"Newton, Arkansas",Arkansas,Newton,19.9,11.3
"Jackson, Colorado",Colorado,Jackson,16.6,7.2
"Fayette, Alabama",Alabama,Fayette,23.0,11.7
"Marshall, Alabama",Alabama,Marshall,21.9,10.0
"San Luis Obispo, California",California,San Luis Obispo,11.0,5.5
"Graham, Arizona",Arizona,Graham,17.1,6.6
"Bibb, Alabama",Alabama,Bibb,24.9,10.1
"Butler, Alabama",Alabama,Butler,23.2,11.1
"St. Clair, Alabama",Alabama,St. Clair,22.8,9.4
"Geneva, Alabama",Alabama,Geneva,24.0,11.8
"Apache, Arizona",Arizona,Apache,23.0,12.2
"Franklin, Arkansas",Arkansas,Franklin,24.6,12.0
"Woodruff, Arkansas",Arkansas,Woodruff,23.3,12.2
"Ventura, California",California,Ventura,10.5,4.7
"Crawford, Arkansas",Arkansas,Crawford,22.1,9.9
"Barbour, Alabama",Alabama,Barbour,26.9,12.3
"Pulaski, Arkansas",Arkansas,Pulaski,19.2,7.6
"Faulkner, Arkansas",Arkansas,Faulkner,19.3,7.4
"Poinsett, Arkansas",Arkansas,Poinsett,24.6,11.2
"Pike, Arkansas",Arkansas,Pike,21.6,10.6
"Baldwin, Alabama",Alabama,Baldwin,18.9,8.4
"Kenai Peninsula, Alaska",Alaska,Kenai Peninsula,19.4,7.4
"Clarke, Alabama",Alabama,Clarke,23.4,11.2
"La Plata, Colorado",Colorado,La Plata,13.9,5.1
"Yukon-Koyukuk, Alaska",Alaska,Yukon-Koyukuk,30.5,10.8
"Dallas, Alabama",Alabama,Dallas,23.0,11.1
"Covington, Alabama",Alabama,Covington,23.1,11.2
"Merced, California",California,Merced,14.4,5.6
"Garland, Arkansas",Arkansas,Garland,19.5,10.2
"Greenlee, Arizona",Arizona,Greenlee,15.0,5.4
"Gila, Arizona",Arizona,Gila,17.6,10.2
"Juneau, Alaska",Alaska,Juneau,15.3,5.1
"Trinity, California",California,Trinity,16.0,9.7
"Northwest Arctic, Alaska",Alaska,Northwest Arctic,34.9,9.6
"DeKalb, Alabama",Alabama,DeKalb,24.5,11.3
"San Francisco, California",California,San Francisco,9.6,3.6
"Yuba, California",California,Yuba,14.8,6.0
"Randolph, Alabama",Alabama,Randolph,21.9,10.6
"Huerfano, Colorado",Colorado,Huerfano,13.7,7.1
"Riverside, California",California,Riverside,12.4,5.2
"Morgan, Colorado",Colorado,Morgan,16.5,5.9
"Imperial, California",California,Imperial,13.1,5.3
"Mono, California",California,Mono,13.0,5.6
"Cullman, Alabama",Alabama,Cullman,22.5,10.2
"Macon, Alabama",Alabama,Macon,20.4,9.4
"Pinal, Arizona",Arizona,Pinal,16.9,7.0
"Sierra, California",California,Sierra,13.8,8.9
"Colbert, Alabama",Alabama,Colbert,20.5,9.6
"Henry, Alabama",Alabama,Henry,21.0,10.5
"Jefferson, Alabama",Alabama,Jefferson,17.2,7.7
"Shasta, California",California,Shasta,15.3,7.6
"Dallas, Arkansas",Arkansas,Dallas,21.6,10.8
"Pitkin, Colorado",Colorado,Pitkin,11.0,4.3
"Russell, Alabama",Alabama,Russell,21.7,9.0
"Douglas, Colorado",Colorado,Douglas,10.0,3.6
"Sitka, Alaska",Alaska,Sitka,17.2,5.9
"Stone, Arkansas",Arkansas,Stone,22.7,13.5
"Marengo, Alabama",Alabama,Marengo,22.6,10.6
"Adams, Colorado",Colorado,Adams,15.4,4.5
"Houston, Alabama",Alabama,Houston,21.0,9.6
"Montezuma, Colorado",Colorado,Montezuma,17.3,7.6
"Santa Cruz, Arizona",Arizona,Santa Cruz,13.8,6.3
"Tehama, California",California,Tehama,16.1,8.3
"Modoc, California",California,Modoc,16.0,9.3
"Skagway, Alaska",Alaska,Skagway,17.7,5.8
"Sevier, Arkansas",Arkansas,Sevier,20.0,8.6
"Lafayette, Arkansas",Arkansas,Lafayette,24.0,12.7
"Elbert, Colorado",Colorado,Elbert,13.9,5.5
"Greene, Arkansas",Arkansas,Greene,23.2,9.7
"Montrose, Colorado",Colorado,Montrose,16.0,7.0
"Navajo, Arizona",Arizona,Navajo,19.6,11.1
"Yolo, California",California,Yolo,11.4,4.5
"Pope, Arkansas",Arkansas,Pope,19.9,8.9
"Shelby, Alabama",Alabama,Shelby,15.0,6.3
"Mineral, Colorado",Colorado,Mineral,12.4,6.5
"Aleutians West, Alaska",Alaska,Aleutians West,17.9,4.3
"Dale, Alabama",Alabama,Dale,21.3,9.1
"Boulder, Colorado",Colorado,Boulder,10.6,4.1
"Choctaw, Alabama",Alabama,Choctaw,22.6,11.9
"Larimer, Colorado",Colorado,Larimer,13.3,4.6
"Crenshaw, Alabama",Alabama,Crenshaw,22.9,10.7
"Clay, Alabama",Alabama,Clay,24.1,12.2
"Monroe, Alabama",Alabama,Monroe,23.6,11.8
"Prince of Wales-Hyder, Alaska",Alaska,Prince of Wales-Hyder,25.0,9.4
"Union, Arkansas",Arkansas,Union,20.6,9.6
"Chicot, Arkansas",Arkansas,Chicot,23.7,11.9
"Talladega, Alabama",Alabama,Talladega,24.2,10.7
"San Benito, California",California,San Benito,11.8,4.5
"Johnson, Arkansas",Arkansas,Johnson,24.0,10.9
"Saline, Arkansas",Arkansas,Saline,16.7,7.7
"Crittenden, Arkansas",Arkansas,Crittenden,23.4,9.9
"Kusilvak, Alaska",Alaska,Kusilvak,43.8,13.3
"Nome, Alaska",Alaska,Nome,31.6,9.0
"North Slope, Alaska",Alaska,North Slope,25.4,6.6
"Broomfield, Colorado",Colorado,Broomfield,10.9,3.8
"Walker, Alabama",Alabama,Walker,24.8,11.7
"Yakutat, Alaska",Alaska,Yakutat,21.5,8.0
