,State_County,State,County,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_for_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days
59,California,El Dorado,727.0,513.0,168.0,39.0,7.0,0.0,0.0,"California, El Dorado"
60,California,Fresno,730.0,248.0,300.0,144.0,38.0,0.0,0.0,"California, Fresno"
61,California,Glenn,727.0,553.0,170.0,4.0,0.0,0.0,0.0,"California, Glenn"
62,California,Humboldt,725.0,696.0,29.0,0.0,0.0,0.0,0.0,"California, Humboldt"
63,California,Imperial,730.0,280.0,377.0,69.0,4.0,0.0,0.0,"California, Imperial"
64,California,Inyo,730.0,451.0,245.0,11.0,7.0,6.0,10.0,"California, Inyo"
65,California,Kern,730.0,158.0,308.0,178.0,79.0,6.0,1.0,"California, Kern"
66,California,Kings,730.0,242.0,349.0,123.0,13.0,1.0,2.0,"California, Kings"
67,California,Lake,722.0,709.0,13.0,0.0,0.0,0.0,0.0,"California, Lake"
68,California,Los Angeles,730.0,100.0,426.0,128.0,71.0,5.0,0.0,"California, Los Angeles"
69,California,Madera,730.0,451.0,240.0,36.0,3.0,0.0,0.0,"California, Madera"
70,California,Marin,728.0,668.0,59.0,1.0,0.0,0.0,0.0,"California, Marin"
71,California,Mariposa,730.0,394.0,288.0,42.0,6.0,0.0,0.0,"California, Mariposa"
72,California,Mendocino,726.0,496.0,229.0,1.0,0.0,0.0,0.0,"California, Mendocino"
73,California,Merced,726.0,401.0,269.0,56.0,0.0,0.0,0.0,"California, Merced"
74,California,Mono,730.0,590.0,109.0,10.0,2.0,1.0,18.0,"California, Mono"
75,California,Monterey,730.0,685.0,43.0,2.0,0.0,0.0,0.0,"California, Monterey"
76,California,Napa,728.0,589.0,134.0,5.0,0.0,0.0,0.0,"California, Napa"
77,California,Nevada,725.0,517.0,167.0,39.0,2.0,0.0,0.0,"California, Nevada"
78,California,Orange,730.0,339.0,350.0,36.0,5.0,0.0,0.0,"California, Orange"
79,California,Placer,730.0,406.0,278.0,36.0,10.0,0.0,0.0,"California, Placer"
80,California,Plumas,460.0,325.0,126.0,9.0,0.0,0.0,0.0,"California, Plumas"
81,California,Riverside,730.0,104.0,358.0,181.0,85.0,2.0,0.0,"California, Riverside"
82,California,Sacramento,730.0,375.0,282.0,51.0,22.0,0.0,0.0,"California, Sacramento"
83,California,San Benito,730.0,615.0,108.0,7.0,0.0,0.0,0.0,"California, San Benito"
84,California,San Bernardino,730.0,122.0,335.0,137.0,120.0,16.0,0.0,"California, San Bernardino"
85,California,San Diego,730.0,146.0,510.0,67.0,7.0,0.0,0.0,"California, San Diego"
86,California,San Francisco,730.0,509.0,215.0,6.0,0.0,0.0,0.0,"California, San Francisco"
87,California,San Joaquin,730.0,475.0,219.0,34.0,2.0,0.0,0.0,"California, San Joaquin"
88,California,San Luis Obispo,730.0,401.0,297.0,32.0,0.0,0.0,0.0,"California, San Luis Obispo"
89,California,San Mateo,730.0,584.0,144.0,2.0,0.0,0.0,0.0,"California, San Mateo"
90,California,Santa Barbara,730.0,546.0,172.0,8.0,4.0,0.0,0.0,"California, Santa Barbara"
91,California,Santa Clara,730.0,515.0,201.0,14.0,0.0,0.0,0.0,"California, Santa Clara"
92,California,Santa Cruz,730.0,702.0,28.0,0.0,0.0,0.0,0.0,"California, Santa Cruz"
93,California,Shasta,729.0,586.0,135.0,8.0,0.0,0.0,0.0,"California, Shasta"
94,California,Siskiyou,688.0,643.0,40.0,3.0,2.0,0.0,0.0,"California, Siskiyou"
95,California,Solano,730.0,529.0,191.0,10.0,0.0,0.0,0.0,"California, Solano"
96,California,Sonoma,730.0,664.0,66.0,0.0,0.0,0.0,0.0,"California, Sonoma"
97,California,Stanislaus,730.0,343.0,297.0,77.0,13.0,0.0,0.0,"California, Stanislaus"
98,California,Sutter,730.0,439.0,277.0,14.0,0.0,0.0,0.0,"California, Sutter"
99,California,Tehama,629.0,453.0,145.0,31.0,0.0,0.0,0.0,"California, Tehama"
100,California,Trinity,388.0,364.0,22.0,2.0,0.0,0.0,0.0,"California, Trinity"
101,California,Tulare,730.0,212.0,304.0,161.0,52.0,1.0,0.0,"California, Tulare"
102,California,Tuolumne,719.0,529.0,169.0,21.0,0.0,0.0,0.0,"California, Tuolumne"
103,California,Ventura,730.0,415.0,266.0,43.0,6.0,0.0,0.0,"California, Ventura"
104,California,Yolo,730.0,533.0,186.0,11.0,0.0,0.0,0.0,"California, Yolo"
105,Colorado,Adams,730.0,464.0,259.0,7.0,0.0,0.0,0.0,"Colorado, Adams"
106,Colorado,Alamosa,467.0,453.0,12.0,2.0,0.0,0.0,0.0,"Colorado, Alamosa"
107,Colorado,Arapahoe,703.0,478.0,215.0,10.0,0.0,0.0,0.0,"Colorado, Arapahoe"
108,Colorado,Archuleta,717.0,672.0,39.0,5.0,1.0,0.0,0.0,"Colorado, Archuleta"
109,Colorado,Boulder,730.0,483.0,232.0,15.0,0.0,0.0,0.0,"Colorado, Boulder"
110,Colorado,Clear Creek,360.0,243.0,116.0,1.0,0.0,0.0,0.0,"Colorado, Clear Creek"
111,Colorado,Delta,486.0,455.0,30.0,1.0,0.0,0.0,0.0,"Colorado, Delta"
112,Colorado,Denver,730.0,453.0,274.0,2.0,1.0,0.0,0.0,"Colorado, Denver"
113,Colorado,Douglas,724.0,503.0,203.0,17.0,1.0,0.0,0.0,"Colorado, Douglas"
114,Colorado,El Paso,730.0,554.0,175.0,1.0,0.0,0.0,0.0,"Colorado, El Paso"
115,Colorado,Fremont,91.0,91.0,0.0,0.0,0.0,0.0,0.0,"Colorado, Fremont"
116,Colorado,Garfield,730.0,593.0,137.0,0.0,0.0,0.0,0.0,"Colorado, Garfield"
117,Colorado,Gilpin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Colorado, Gilpin"
118,Colorado,Gunnison,722.0,563.0,156.0,3.0,0.0,0.0,0.0,"Colorado, Gunnison"
119,Colorado,Jackson,221.0,220.0,1.0,0.0,0.0,0.0,0.0,"Colorado, Jackson"
120,Colorado,Jefferson,730.0,501.0,203.0,25.0,1.0,0.0,0.0,"Colorado, Jefferson"
121,Colorado,La Plata,730.0,529.0,195.0,6.0,0.0,0.0,0.0,"Colorado, La Plata"
122,Colorado,Larimer,730.0,431.0,285.0,14.0,0.0,0.0,0.0,"Colorado, Larimer"
123,Colorado,Mesa,729.0,519.0,204.0,5.0,1.0,0.0,0.0,"Colorado, Mesa"
124,Colorado,Montezuma,730.0,505.0,223.0,2.0,0.0,0.0,0.0,"Colorado, Montezuma"
125,Colorado,Pitkin,427.0,305.0,116.0,5.0,1.0,0.0,0.0,"Colorado, Pitkin"
126,Colorado,Prowers,711.0,688.0,19.0,4.0,0.0,0.0,0.0,"Colorado, Prowers"
127,Colorado,Pueblo,327.0,275.0,52.0,0.0,0.0,0.0,0.0,"Colorado, Pueblo"
128,Colorado,Rio Blanco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Colorado, Rio Blanco"
129,Colorado,Routt,706.0,684.0,21.0,1.0,0.0,0.0,0.0,"Colorado, Routt"
130,Colorado,San Juan,238.0,237.0,1.0,0.0,0.0,0.0,0.0,"Colorado, San Juan"
131,Colorado,San Miguel,227.0,222.0,5.0,0.0,0.0,0.0,0.0,"Colorado, San Miguel"
132,Colorado,Weld,730.0,529.0,196.0,5.0,0.0,0.0,0.0,"Colorado, Weld"
133,Connecticut,Fairfield,730.0,516.0,181.0,30.0,3.0,0.0,0.0,"Connecticut, Fairfield"
134,Connecticut,Hartford,730.0,594.0,128.0,8.0,0.0,0.0,0.0,"Connecticut, Hartford"
135,Connecticut,Litchfield,730.0,666.0,61.0,3.0,0.0,0.0,0.0,"Connecticut, Litchfield"
136,Connecticut,Middlesex,387.0,336.0,41.0,9.0,1.0,0.0,0.0,"Connecticut, Middlesex"
137,Connecticut,New Haven,730.0,534.0,177.0,17.0,2.0,0.0,0.0,"Connecticut, New Haven"
138,Connecticut,New London,720.0,593.0,114.0,13.0,0.0,0.0,0.0,"Connecticut, New London"
139,Connecticut,Tolland,395.0,343.0,41.0,11.0,0.0,0.0,0.0,"Connecticut, Tolland"
140,Connecticut,Windham,719.0,682.0,34.0,3.0,0.0,0.0,0.0,"Connecticut, Windham"
141,Country Of Mexico,BAJA CALIFORNIA NORTE,397.0,91.0,252.0,42.0,5.0,0.0,7.0,"Country Of Mexico, BAJA CALIFORNIA NORTE"
142,Country Of Mexico,SONORA,420.0,321.0,93.0,5.0,0.0,1.0,0.0,"Country Of Mexico, SONORA"
143,Delaware,Kent,627.0,492.0,135.0,0.0,0.0,0.0,0.0,"Delaware, Kent"
144,Delaware,New Castle,730.0,471.0,249.0,8.0,2.0,0.0,0.0,"Delaware, New Castle"
145,Delaware,Sussex,623.0,487.0,134.0,2.0,0.0,0.0,0.0,"Delaware, Sussex"
146,District Of Columbia,District of Columbia,730.0,436.0,280.0,13.0,1.0,0.0,0.0,"District Of Columbia, District of Columbia"
147,Florida,Alachua,729.0,660.0,69.0,0.0,0.0,0.0,0.0,"Florida, Alachua"
148,Florida,Baker,714.0,687.0,27.0,0.0,0.0,0.0,0.0,"Florida, Baker"
149,Florida,Bay,722.0,603.0,118.0,1.0,0.0,0.0,0.0,"Florida, Bay"
150,Florida,Brevard,716.0,637.0,79.0,0.0,0.0,0.0,0.0,"Florida, Brevard"
151,Florida,Broward,728.0,587.0,141.0,0.0,0.0,0.0,0.0,"Florida, Broward"
152,Florida,Citrus,481.0,446.0,35.0,0.0,0.0,0.0,0.0,"Florida, Citrus"
153,Florida,Collier,727.0,648.0,79.0,0.0,0.0,0.0,0.0,"Florida, Collier"
154,Florida,Columbia,728.0,566.0,162.0,0.0,0.0,0.0,0.0,"Florida, Columbia"
155,Florida,Duval,726.0,499.0,223.0,4.0,0.0,0.0,0.0,"Florida, Duval"
156,Florida,Escambia,730.0,546.0,178.0,6.0,0.0,0.0,0.0,"Florida, Escambia"
157,Florida,Flagler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Florida, Flagler"
158,Florida,Hamilton,656.0,540.0,116.0,0.0,0.0,0.0,0.0,"Florida, Hamilton"
159,Florida,Highlands,587.0,565.0,22.0,0.0,0.0,0.0,0.0,"Florida, Highlands"
160,Florida,Hillsborough,730.0,499.0,221.0,10.0,0.0,0.0,0.0,"Florida, Hillsborough"
161,Florida,Holmes,727.0,573.0,154.0,0.0,0.0,0.0,0.0,"Florida, Holmes"
162,Florida,Indian River,643.0,612.0,31.0,0.0,0.0,0.0,0.0,"Florida, Indian River"
163,Florida,Lake,695.0,604.0,89.0,2.0,0.0,0.0,0.0,"Florida, Lake"
164,Florida,Lee,730.0,634.0,95.0,1.0,0.0,0.0,0.0,"Florida, Lee"
165,Florida,Leon,725.0,493.0,228.0,3.0,1.0,0.0,0.0,"Florida, Leon"
166,Florida,Liberty,683.0,662.0,21.0,0.0,0.0,0.0,0.0,"Florida, Liberty"
167,Florida,Manatee,567.0,532.0,32.0,3.0,0.0,0.0,0.0,"Florida, Manatee"
168,Florida,Marion,730.0,608.0,122.0,0.0,0.0,0.0,0.0,"Florida, Marion"
169,Florida,Martin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Florida, Martin"
170,Florida,Miami-Dade,728.0,585.0,138.0,5.0,0.0,0.0,0.0,"Florida, Miami-Dade"
171,Florida,Nassau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Florida, Nassau"
172,Florida,Okaloosa,725.0,670.0,54.0,1.0,0.0,0.0,0.0,"Florida, Okaloosa"
173,Florida,Orange,725.0,597.0,125.0,3.0,0.0,0.0,0.0,"Florida, Orange"
174,Florida,Osceola,729.0,685.0,40.0,4.0,0.0,0.0,0.0,"Florida, Osceola"
175,Florida,Palm Beach,722.0,633.0,89.0,0.0,0.0,0.0,0.0,"Florida, Palm Beach"
176,Florida,Pasco,730.0,658.0,71.0,1.0,0.0,0.0,0.0,"Florida, Pasco"
177,Florida,Pinellas,730.0,566.0,164.0,0.0,0.0,0.0,0.0,"Florida, Pinellas"
178,Florida,Polk,730.0,607.0,122.0,1.0,0.0,0.0,0.0,"Florida, Polk"
179,Florida,Putnam,709.0,704.0,5.0,0.0,0.0,0.0,0.0,"Florida, Putnam"
180,Florida,Santa Rosa,729.0,585.0,139.0,5.0,0.0,0.0,0.0,"Florida, Santa Rosa"
181,Florida,Sarasota,730.0,499.0,224.0,7.0,0.0,0.0,0.0,"Florida, Sarasota"
182,Florida,Seminole,730.0,662.0,67.0,1.0,0.0,0.0,0.0,"Florida, Seminole"
183,Florida,St. Lucie,717.0,654.0,63.0,0.0,0.0,0.0,0.0,"Florida, St. Lucie"
184,Florida,Volusia,715.0,629.0,86.0,0.0,0.0,0.0,0.0,"Florida, Volusia"
185,Florida,Wakulla,716.0,652.0,64.0,0.0,0.0,0.0,0.0,"Florida, Wakulla"
186,Georgia,Bibb,726.0,473.0,245.0,7.0,1.0,0.0,0.0,"Georgia, Bibb"
187,Georgia,Charlton,223.0,213.0,10.0,0.0,0.0,0.0,0.0,"Georgia, Charlton"
188,Georgia,Chatham,700.0,522.0,177.0,1.0,0.0,0.0,0.0,"Georgia, Chatham"
189,Georgia,Chattooga,506.0,464.0,42.0,0.0,0.0,0.0,0.0,"Georgia, Chattooga"
190,Georgia,Clarke,728.0,485.0,241.0,2.0,0.0,0.0,0.0,"Georgia, Clarke"
191,Georgia,Clayton,235.0,171.0,64.0,0.0,0.0,0.0,0.0,"Georgia, Clayton"
192,Georgia,Cobb,643.0,426.0,211.0,4.0,2.0,0.0,0.0,"Georgia, Cobb"
193,Georgia,Coffee,178.0,151.0,26.0,1.0,0.0,0.0,0.0,"Georgia, Coffee"
194,Georgia,Columbia,484.0,437.0,47.0,0.0,0.0,0.0,0.0,"Georgia, Columbia"
195,Georgia,Dawson,478.0,425.0,51.0,2.0,0.0,0.0,0.0,"Georgia, Dawson"
196,Georgia,DeKalb,730.0,427.0,289.0,13.0,1.0,0.0,0.0,"Georgia, DeKalb"
197,Georgia,Dougherty,681.0,393.0,282.0,6.0,0.0,0.0,0.0,"Georgia, Dougherty"
198,Georgia,Douglas,490.0,404.0,75.0,11.0,0.0,0.0,0.0,"Georgia, Douglas"
199,Georgia,Floyd,721.0,394.0,325.0,2.0,0.0,0.0,0.0,"Georgia, Floyd"
200,Georgia,Fulton,730.0,340.0,372.0,14.0,4.0,0.0,0.0,"Georgia, Fulton"
201,Georgia,Glynn,554.0,503.0,49.0,2.0,0.0,0.0,0.0,"Georgia, Glynn"
202,Georgia,Gwinnett,720.0,436.0,278.0,6.0,0.0,0.0,0.0,"Georgia, Gwinnett"
203,Georgia,Hall,666.0,442.0,224.0,0.0,0.0,0.0,0.0,"Georgia, Hall"
204,Georgia,Henry,728.0,524.0,190.0,14.0,0.0,0.0,0.0,"Georgia, Henry"
205,Georgia,Houston,662.0,392.0,267.0,2.0,1.0,0.0,0.0,"Georgia, Houston"
206,Georgia,Lowndes,638.0,420.0,218.0,0.0,0.0,0.0,0.0,"Georgia, Lowndes"
207,Georgia,Murray,550.0,463.0,85.0,2.0,0.0,0.0,0.0,"Georgia, Murray"
208,Georgia,Muscogee,729.0,512.0,216.0,1.0,0.0,0.0,0.0,"Georgia, Muscogee"
209,Georgia,Pike,713.0,624.0,86.0,3.0,0.0,0.0,0.0,"Georgia, Pike"
210,Georgia,Richmond,722.0,456.0,263.0,2.0,1.0,0.0,0.0,"Georgia, Richmond"
211,Georgia,Rockdale,593.0,487.0,98.0,7.0,1.0,0.0,0.0,"Georgia, Rockdale"
212,Georgia,Sumter,470.0,431.0,39.0,0.0,0.0,0.0,0.0,"Georgia, Sumter"
213,Georgia,Walker,684.0,449.0,234.0,0.0,1.0,0.0,0.0,"Georgia, Walker"
214,Georgia,Washington,326.0,256.0,68.0,2.0,0.0,0.0,0.0,"Georgia, Washington"
215,Hawaii,Hawaii,730.0,425.0,281.0,20.0,4.0,0.0,0.0,"Hawaii, Hawaii"
216,Hawaii,Honolulu,730.0,709.0,20.0,0.0,1.0,0.0,0.0,"Hawaii, Honolulu"
217,Hawaii,Kauai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hawaii, Kauai"
218,Hawaii,Maui,720.0,694.0,22.0,3.0,1.0,0.0,0.0,"Hawaii, Maui"
219,Idaho,Ada,730.0,513.0,210.0,7.0,0.0,0.0,0.0,"Idaho, Ada"
220,Idaho,Bannock,727.0,680.0,44.0,3.0,0.0,0.0,0.0,"Idaho, Bannock"
221,Idaho,Benewah,728.0,528.0,181.0,17.0,2.0,0.0,0.0,"Idaho, Benewah"
222,Idaho,Blaine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Idaho, Blaine"
223,Idaho,Boise,691.0,593.0,95.0,2.0,1.0,0.0,0.0,"Idaho, Boise"
224,Idaho,Bonner,721.0,668.0,52.0,1.0,0.0,0.0,0.0,"Idaho, Bonner"
225,Idaho,Bonneville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Idaho, Bonneville"
226,Idaho,Butte,725.0,686.0,39.0,0.0,0.0,0.0,0.0,"Idaho, Butte"
227,Idaho,Canyon,654.0,579.0,75.0,0.0,0.0,0.0,0.0,"Idaho, Canyon"
228,Idaho,Custer,201.0,201.0,0.0,0.0,0.0,0.0,0.0,"Idaho, Custer"
229,Idaho,Franklin,469.0,420.0,42.0,7.0,0.0,0.0,0.0,"Idaho, Franklin"
230,Idaho,Idaho,703.0,633.0,70.0,0.0,0.0,0.0,0.0,"Idaho, Idaho"
231,Idaho,Jerome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Idaho, Jerome"
232,Idaho,Kootenai,614.0,552.0,62.0,0.0,0.0,0.0,0.0,"Idaho, Kootenai"
233,Idaho,Latah,672.0,667.0,5.0,0.0,0.0,0.0,0.0,"Idaho, Latah"
234,Idaho,Lemhi,714.0,542.0,162.0,10.0,0.0,0.0,0.0,"Idaho, Lemhi"
235,Idaho,Nez Perce,692.0,629.0,63.0,0.0,0.0,0.0,0.0,"Idaho, Nez Perce"
236,Idaho,Shoshone,730.0,443.0,271.0,15.0,1.0,0.0,0.0,"Idaho, Shoshone"
237,Idaho,Twin Falls,723.0,691.0,31.0,1.0,0.0,0.0,0.0,"Idaho, Twin Falls"
238,Idaho,Valley,685.0,594.0,91.0,0.0,0.0,0.0,0.0,"Idaho, Valley"
239,Illinois,Adams,604.0,544.0,60.0,0.0,0.0,0.0,0.0,"Illinois, Adams"
240,Illinois,Champaign,730.0,577.0,153.0,0.0,0.0,0.0,0.0,"Illinois, Champaign"
241,Illinois,Clark,532.0,497.0,35.0,0.0,0.0,0.0,0.0,"Illinois, Clark"
242,Illinois,Cook,730.0,249.0,453.0,26.0,1.0,1.0,0.0,"Illinois, Cook"
243,Illinois,DuPage,717.0,448.0,264.0,4.0,1.0,0.0,0.0,"Illinois, DuPage"
244,Illinois,Effingham,485.0,430.0,54.0,1.0,0.0,0.0,0.0,"Illinois, Effingham"
245,Illinois,Hamilton,591.0,465.0,123.0,3.0,0.0,0.0,0.0,"Illinois, Hamilton"
246,Illinois,Jersey,590.0,484.0,102.0,4.0,0.0,0.0,0.0,"Illinois, Jersey"
247,Illinois,Jo Daviess,674.0,640.0,34.0,0.0,0.0,0.0,0.0,"Illinois, Jo Daviess"
248,Illinois,Kane,649.0,552.0,93.0,4.0,0.0,0.0,0.0,"Illinois, Kane"
249,Illinois,Lake,598.0,518.0,73.0,6.0,1.0,0.0,0.0,"Illinois, Lake"
250,Illinois,Macon,729.0,479.0,250.0,0.0,0.0,0.0,0.0,"Illinois, Macon"
251,Illinois,Macoupin,700.0,654.0,46.0,0.0,0.0,0.0,0.0,"Illinois, Macoupin"
252,Illinois,Madison,728.0,347.0,371.0,8.0,2.0,0.0,0.0,"Illinois, Madison"
253,Illinois,McHenry,705.0,472.0,231.0,2.0,0.0,0.0,0.0,"Illinois, McHenry"
254,Illinois,McLean,728.0,544.0,180.0,4.0,0.0,0.0,0.0,"Illinois, McLean"
255,Illinois,Peoria,729.0,511.0,213.0,5.0,0.0,0.0,0.0,"Illinois, Peoria"
256,Illinois,Randolph,688.0,604.0,84.0,0.0,0.0,0.0,0.0,"Illinois, Randolph"
257,Illinois,Rock Island,715.0,612.0,101.0,2.0,0.0,0.0,0.0,"Illinois, Rock Island"
258,Illinois,Saint Clair,730.0,514.0,214.0,1.0,1.0,0.0,0.0,"Illinois, Saint Clair"
259,Illinois,Sangamon,725.0,603.0,122.0,0.0,0.0,0.0,0.0,"Illinois, Sangamon"
260,Illinois,Will,730.0,585.0,145.0,0.0,0.0,0.0,0.0,"Illinois, Will"
261,Illinois,Winnebago,706.0,555.0,149.0,2.0,0.0,0.0,0.0,"Illinois, Winnebago"
262,Indiana,Allen,730.0,397.0,329.0,4.0,0.0,0.0,0.0,"Indiana, Allen"
263,Indiana,Bartholomew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Indiana, Bartholomew"
264,Indiana,Boone,532.0,454.0,77.0,1.0,0.0,0.0,0.0,"Indiana, Boone"
265,Indiana,Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Indiana, Brown"
266,Indiana,Carroll,538.0,488.0,50.0,0.0,0.0,0.0,0.0,"Indiana, Carroll"
267,Indiana,Clark,727.0,464.0,261.0,2.0,0.0,0.0,0.0,"Indiana, Clark"
268,Indiana,Delaware,594.0,487.0,106.0,1.0,0.0,0.0,0.0,"Indiana, Delaware"
