X,Y,FID,year_,MSHA_ID,name,type_,mstafips,state,county,mctyfips,lat,lon,unit,tot_prod,notes
-82.9449999999999,37.251111,126,2020,1519766,Alum Cave #17,Surface,21,Kentucky,Knott,119,37.251111,-82.945,short tons,"307,381",
-82.885278,37.156389,127,2020,1519770,No. 4,Surface,21,Kentucky,Letcher,133,37.156389,-82.885278,short tons,"2,407",
-82.404444,37.3902780000001,128,2020,1519776,No.4,Underground,21,Kentucky,Pike,195,37.390278,-82.404444,short tons,"17,100",
-82.2175,37.3758330000001,129,2020,1519784,No.7,Underground,21,Kentucky,Pike,195,37.375833,-82.2175,short tons,"96,218",
-82.174167,37.3936110000001,130,2020,1519799,Fedscreek Surface,Surface,21,Kentucky,Pike,195,37.393611,-82.174167,short tons,"62,880",
-87.251944,37.470833,131,2020,1519806,Poplar Grove Mine,Underground,21,Kentucky,Mclean,149,37.470833,-87.251944,short tons,"260,370",
-83.316944,36.9630560000001,132,2020,1519808,Hyden Development East #1,Surface,21,Kentucky,Leslie,131,36.963056,-83.316944,short tons,"167,545",
-88.540556,37.7383330000001,133,2020,1519809,Shm-71,Surface,17,Indiana,Saline,165,37.738333,-88.540556,short tons,"155,807",
-83.2483329999999,36.784722,134,2020,1519815,Three Point,Surface,21,Kentucky,Harlan,95,36.784722,-83.248333,short tons,"19,684",
-84.0649999999999,36.8166670000001,135,2020,1519819,Chm 48,Surface,21,Kentucky,Whitley,235,36.816667,-84.065,short tons,"190,275",
-82.438889,37.7622220000001,136,2020,1519823,White Oak,Surface,21,Kentucky,Martin,159,37.762222,-82.438889,short tons,"47,407",
-82.5108329999999,37.718889,137,2020,1519824,Aldridge,Surface,21,Kentucky,Martin,159,37.718889,-82.510833,short tons,"91,739",
-83.4102779999999,37.0788890000001,138,2020,1519825,Stinnett,Surface,21,Kentucky,Leslie,131,37.078889,-83.410278,short tons,"186,300",
-83.221944,36.8969440000001,139,2020,1519827,Putney Darby Mine #1,Underground,21,Kentucky,Harlan,95,36.896944,-83.221944,short tons,"256,652",
-82.717778,37.512778,140,2020,1519837,Sly Branch Mine,Underground,21,Kentucky,Floyd,71,37.512778,-82.717778,short tons,"53,722",
-82.480833,37.6611110000001,141,2020,1519838,Excel #5,Underground,21,Kentucky,Pike,195,37.661111,-82.480833,short tons,"369,240",
-82.034167,37.4686110000001,142,2020,1519839,No. 3,Surface,51,Virginia,Buchanan,27,37.468611,-82.034167,short tons,"8,754",
-82.110833,37.4380560000001,143,2020,1519842,Paw Paw 2,Underground,21,Kentucky,Pike,195,37.438056,-82.110833,short tons,"386,635",
-83.547222,36.7625,144,2020,1519844,Toms Fork Mine,Underground,21,Kentucky,Bell,13,36.7625,-83.547222,short tons,"106,783",
-83.173889,37.9711110000001,145,2020,1519846,Advanced Restoration Technolog,Surface,21,Kentucky,Morgan,175,37.971111,-83.173889,short tons,"9,356",
-82.188611,37.528889,146,2020,1519847,Netley Branch,Underground,21,Kentucky,Pike,195,37.528889,-82.188611,short tons,"6,000",
-83.5222219999999,36.7705560000001,147,2020,1519848,Bull Branch Mine,Underground,21,Kentucky,Bell,13,36.770556,-83.522222,short tons,"89,489",
-83.889167,36.600556,148,2020,1519852,Shm-70,Surface,21,Kentucky,Bell,13,36.600556,-83.889167,short tons,"52,805",
