State_County,StateDesc,LocationName,Levels_Smokers,Levels_COPD,Low CL COPD,High CL COPD
"California, Plumas",California,Plumas,12.8,7.7,6.6,8.9
"Arkansas, Marion",Arkansas,Marion,20.6,12.2,10.5,14.2
"California, San Mateo",California,San Mateo,9.2,3.8,3.3,4.4
"California, Butte",California,Butte,13.6,6.6,5.7,7.5
"Arizona, Maricopa",Arizona,Maricopa,14.2,5.7,5.0,6.5
"Colorado, Garfield",Colorado,Garfield,14.8,5.0,4.2,5.9
"California, Calaveras",California,Calaveras,13.7,7.8,6.8,9.0
"Alaska, Bristol Bay",Alaska,Bristol Bay,21.2,7.2,6.5,7.9
"Arkansas, Jackson",Arkansas,Jackson,25.9,11.9,10.6,13.4
"Alabama, Franklin",Alabama,Franklin,22.4,9.8,8.6,11.1
"Alaska, Bethel",Alaska,Bethel,35.7,10.9,9.6,12.1
"California, Tuolumne",California,Tuolumne,13.9,7.7,6.6,8.9
"Alabama, Winston",Alabama,Winston,24.7,12.6,10.9,14.4
"California, Solano",California,Solano,11.9,4.9,4.4,5.4
"Arkansas, Lonoke",Arkansas,Lonoke,21.3,8.1,7.0,9.2
"California, Alameda",California,Alameda,10.1,3.9,3.4,4.3
"Colorado, Lake",Colorado,Lake,16.2,5.4,4.7,6.3
"Alabama, Morgan",Alabama,Morgan,20.1,9.1,7.9,10.5
"Arkansas, Lawrence",Arkansas,Lawrence,22.4,11.0,9.5,12.6
"Alaska, Aleutians East",Alaska,Aleutians East,20.2,5.4,4.9,5.9
"Alabama, Blount",Alabama,Blount,21.5,10.0,8.6,11.4
"Colorado, El Paso",Colorado,El Paso,14.1,4.7,4.0,5.3
"Arizona, Cochise",Arizona,Cochise,16.6,7.2,6.4,8.2
"Arizona, Mohave",Arizona,Mohave,19.0,10.4,9.1,11.9
"California, Lassen",California,Lassen,16.6,6.5,5.8,7.4
"Arkansas, Ouachita",Arkansas,Ouachita,22.8,11.4,10.3,12.6
"Arkansas, Independence",Arkansas,Independence,21.5,10.0,8.6,11.4
"Arkansas, Miller",Arkansas,Miller,21.6,9.7,8.6,10.9
"Arkansas, Sebastian",Arkansas,Sebastian,19.4,9.0,8.0,10.3
"Arkansas, Montgomery",Arkansas,Montgomery,22.6,13.0,11.0,15.0
"Alabama, Madison",Alabama,Madison,15.7,6.7,5.7,7.7
"California, Sutter",California,Sutter,14.4,6.2,5.5,7.0
"Colorado, Gunnison",Colorado,Gunnison,13.1,4.5,3.8,5.4
"Arizona, Yavapai",Arizona,Yavapai,15.5,9.3,7.8,10.9
"California, San Bernardino",California,San Bernardino,13.3,4.9,4.4,5.4
"California, Alpine",California,Alpine,14.7,8.4,7.2,9.9
"Arkansas, Howard",Arkansas,Howard,21.0,10.1,8.9,11.3
"California, Amador",California,Amador,13.5,7.4,6.3,8.5
"Colorado, Jefferson",Colorado,Jefferson,13.4,4.5,3.8,5.3
"Alabama, Elmore",Alabama,Elmore,20.2,8.1,7.0,9.2
"Arkansas, Cleburne",Arkansas,Cleburne,22.0,11.1,9.5,12.9
"Alabama, Escambia",Alabama,Escambia,23.8,11.1,9.9,12.3
"Colorado, Alamosa",Colorado,Alamosa,15.7,5.5,4.9,6.2
"Alabama, Lamar",Alabama,Lamar,23.2,12.0,10.5,13.6
"Alabama, Coffee",Alabama,Coffee,20.2,8.4,7.3,9.6
"Arkansas, Yell",Arkansas,Yell,22.6,10.6,9.3,12.0
"Colorado, Mesa",Colorado,Mesa,17.1,6.4,5.4,7.5
"Arkansas, Little River",Arkansas,Little River,21.7,10.6,9.4,11.8
"California, Tulare",California,Tulare,14.9,5.9,5.2,6.6
"Alaska, Southeast Fairbanks",Alaska,Southeast Fairbanks,21.0,7.2,6.3,8.2
"Arkansas, Nevada",Arkansas,Nevada,21.7,10.3,9.2,11.5
"Alaska, Hoonah-Angoon",Alaska,Hoonah-Angoon,21.5,9.0,8.0,10.1
"Alabama, Sumter",Alabama,Sumter,20.4,9.8,8.7,10.9
"California, San Diego",California,San Diego,11.0,4.6,4.0,5.2
"Arkansas, Scott",Arkansas,Scott,24.0,12.3,10.9,13.9
"Colorado, Delta",Colorado,Delta,18.0,8.6,7.3,9.9
"California, Colusa",California,Colusa,13.5,5.5,4.9,6.1
"Colorado, Kit Carson",Colorado,Kit Carson,17.0,6.9,5.9,8.0
"Arizona, Coconino",Arizona,Coconino,16.7,5.9,5.3,6.6
"Arkansas, Drew",Arkansas,Drew,19.9,9.0,7.9,10.1
"Arkansas, Newton",Arkansas,Newton,19.9,11.3,9.6,13.1
"Colorado, Jackson",Colorado,Jackson,16.6,7.2,6.1,8.3
"Alabama, Fayette",Alabama,Fayette,23.0,11.7,10.2,13.2
"Alabama, Marshall",Alabama,Marshall,21.9,10.0,8.5,11.6
"California, San Luis Obispo",California,San Luis Obispo,11.0,5.5,4.7,6.4
"Arizona, Graham",Arizona,Graham,17.1,6.6,6.0,7.3
"Alabama, Bibb",Alabama,Bibb,24.9,10.1,9.0,11.3
"Alabama, Butler",Alabama,Butler,23.2,11.1,10.0,12.5
"Alabama, St. Clair",Alabama,St. Clair,22.8,9.4,8.1,10.8
"Alabama, Geneva",Alabama,Geneva,24.0,11.8,10.2,13.3
"Arizona, Apache",Arizona,Apache,23.0,12.2,10.9,13.5
"Arkansas, Franklin",Arkansas,Franklin,24.6,12.0,10.5,13.7
"Arkansas, Woodruff",Arkansas,Woodruff,23.3,12.2,10.9,13.7
"California, Ventura",California,Ventura,10.5,4.7,4.1,5.3
"Arkansas, Crawford",Arkansas,Crawford,22.1,9.9,8.6,11.1
"Alabama, Barbour",Alabama,Barbour,26.9,12.3,11.0,13.6
"Arkansas, Pulaski",Arkansas,Pulaski,19.2,7.6,6.6,8.6
