State_County,StateDesc,LocationName,Levels_Smokers,Levels_COPD,Low CL COPD,High CL COPD
"Idaho, Oneida",Idaho,Oneida,16.1,7.6,6.5,8.8
"Colorado, San Juan",Colorado,San Juan,14.4,6.4,5.3,7.5
"Idaho, Bannock",Idaho,Bannock,17.3,6.1,5.2,7.0
"Georgia, Emanuel",Georgia,Emanuel,24.2,10.5,9.4,11.7
"Georgia, Terrell",Georgia,Terrell,24.6,11.8,10.6,13.0
"Florida, Lake",Florida,Lake,17.9,9.5,8.2,10.9
"Georgia, Bacon",Georgia,Bacon,24.6,11.1,9.8,12.4
"Florida, Lafayette",Florida,Lafayette,25.0,10.9,9.6,12.3
"Idaho, Lincoln",Idaho,Lincoln,18.4,6.9,6.1,7.8
"Georgia, Liberty",Georgia,Liberty,21.6,6.3,5.8,6.8
"Connecticut, Windham",Connecticut,Windham,16.9,6.8,5.8,8.0
"Georgia, Montgomery",Georgia,Montgomery,22.0,9.4,8.3,10.5
"Georgia, DeKalb",Georgia,DeKalb,15.0,5.8,5.1,6.6
"Florida, Leon",Florida,Leon,15.2,6.6,5.8,7.5
"Georgia, Dawson",Georgia,Dawson,17.5,7.7,6.4,9.2
"Idaho, Bonneville",Idaho,Bonneville,15.6,5.5,4.6,6.3
"Georgia, Spalding",Georgia,Spalding,21.6,9.6,8.4,10.8
"Idaho, Adams",Idaho,Adams,16.5,8.7,7.3,10.2
"Georgia, Putnam",Georgia,Putnam,19.5,9.8,8.4,11.2
"Georgia, Treutlen",Georgia,Treutlen,25.3,11.6,10.3,12.9
"Florida, Jefferson",Florida,Jefferson,21.2,11.5,10.0,12.9
"Idaho, Ada",Idaho,Ada,13.2,5.0,4.2,5.9
"Georgia, Taylor",Georgia,Taylor,25.8,12.6,11.3,14.0
"Florida, Volusia",Florida,Volusia,19.4,9.6,8.4,11.0
"Idaho, Cassia",Idaho,Cassia,15.6,6.2,5.4,7.1
"Florida, Collier",Florida,Collier,14.2,8.7,7.2,10.3
"Georgia, Glascock",Georgia,Glascock,23.6,10.9,9.5,12.2
"Georgia, Dade",Georgia,Dade,21.3,9.8,8.5,11.3
"Idaho, Bingham",Idaho,Bingham,15.9,6.3,5.5,7.1
"Georgia, Houston",Georgia,Houston,18.0,6.8,6.0,7.7
"Florida, Liberty",Florida,Liberty,26.0,11.0,9.7,12.3
"Florida, Brevard",Florida,Brevard,16.7,9.2,7.8,10.4
"Georgia, Laurens",Georgia,Laurens,22.9,10.4,9.4,11.6
"Georgia, Lanier",Georgia,Lanier,23.6,9.6,8.4,10.8
"Georgia, Fayette",Georgia,Fayette,13.2,5.9,5.0,6.8
"Georgia, Douglas",Georgia,Douglas,18.7,6.6,5.9,7.5
"Florida, Franklin",Florida,Franklin,24.1,12.2,10.4,14.0
"Georgia, Baker",Georgia,Baker,21.2,10.4,9.2,11.5
"Georgia, Ben Hill",Georgia,Ben Hill,23.5,10.8,9.8,11.9
"Colorado, San Miguel",Colorado,San Miguel,12.2,4.5,3.7,5.5
"Georgia, Effingham",Georgia,Effingham,20.4,7.0,6.2,7.9
"Florida, Sarasota",Florida,Sarasota,14.7,9.5,7.9,11.2
"Georgia, Lamar",Georgia,Lamar,20.6,8.6,7.6,9.5
"Florida, Monroe",Florida,Monroe,16.6,7.6,6.6,8.9
"Idaho, Custer",Idaho,Custer,16.7,9.3,7.7,11.0
"Florida, Bradford",Florida,Bradford,26.3,11.6,10.4,12.9
"Connecticut, New Haven",Connecticut,New Haven,14.5,5.7,4.8,6.6
"Georgia, Upson",Georgia,Upson,23.4,10.5,9.3,11.8
"Georgia, Towns",Georgia,Towns,16.0,10.1,8.3,11.9
"Georgia, Thomas",Georgia,Thomas,20.4,9.3,8.2,10.5
"Georgia, Richmond",Georgia,Richmond,21.0,8.4,7.4,9.2
"Idaho, Owyhee",Idaho,Owyhee,18.1,7.7,6.8,8.7
"Georgia, Berrien",Georgia,Berrien,25.6,11.3,9.9,12.8
"Georgia, Long",Georgia,Long,22.8,7.8,7.1,8.7
"Georgia, Heard",Georgia,Heard,23.2,10.2,9.0,11.5
"Georgia, Rockdale",Georgia,Rockdale,18.1,7.1,6.3,8.0
"Georgia, Fannin",Georgia,Fannin,18.8,10.6,8.9,12.6
"Florida, Washington",Florida,Washington,25.4,12.4,11.1,13.8
"Connecticut, Middlesex",Connecticut,Middlesex,12.5,5.7,4.7,6.8
"Georgia, Fulton",Georgia,Fulton,14.2,5.2,4.5,5.9
"Georgia, Carroll",Georgia,Carroll,21.4,8.1,7.0,9.1
"Georgia, Lee",Georgia,Lee,19.0,7.1,6.1,8.0
"Georgia, Seminole",Georgia,Seminole,21.7,11.0,9.8,12.4
"Idaho, Lewis",Idaho,Lewis,18.6,9.9,8.5,11.3
"Connecticut, Tolland",Connecticut,Tolland,12.4,5.1,4.3,6.0
"Florida, Miami-Dade",Florida,Miami-Dade,13.2,6.0,5.1,6.9
"Georgia, Lincoln",Georgia,Lincoln,21.4,11.0,9.6,12.4
"Florida, Dixie",Florida,Dixie,26.2,14.2,12.5,16.1
"Georgia, Gilmer",Georgia,Gilmer,20.1,10.5,8.9,12.2
"Florida, Wakulla",Florida,Wakulla,21.0,9.2,8.2,10.5
"Idaho, Caribou",Idaho,Caribou,18.0,7.0,6.0,8.0
"Georgia, Clinch",Georgia,Clinch,29.5,13.9,12.5,15.3
"Florida, Hernando",Florida,Hernando,19.1,10.7,9.4,12.2
"Georgia, Worth",Georgia,Worth,22.5,10.5,9.4,11.7
"Georgia, Coffee",Georgia,Coffee,24.5,9.5,8.4,10.6
"Georgia, Schley",Georgia,Schley,20.8,9.3,8.3,10.3
"Georgia, Peach",Georgia,Peach,20.5,8.5,7.6,9.5
"Georgia, Grady",Georgia,Grady,21.9,10.2,9.1,11.3
"Georgia, Greene",Georgia,Greene,18.8,10.6,9.1,12.5
"Colorado, Washington",Colorado,Washington,17.2,7.3,6.3,8.4
"Colorado, Routt",Colorado,Routt,13.6,5.0,4.1,6.0
"Florida, Hardee",Florida,Hardee,21.9,10.4,9.4,11.4
"Florida, Taylor",Florida,Taylor,26.5,12.4,11.1,13.8
"Idaho, Bonner",Idaho,Bonner,17.1,8.4,7.0,9.8
"Florida, Nassau",Florida,Nassau,17.8,9.0,7.5,10.5
"Georgia, Jones",Georgia,Jones,20.4,8.9,7.9,10.0
"Georgia, Chattooga",Georgia,Chattooga,26.5,11.7,10.3,13.2
"Florida, Hendry",Florida,Hendry,21.5,9.0,8.2,9.8
"Delaware, Kent",Delaware,Kent,18.1,8.6,7.6,9.6
"Florida, Lee",Florida,Lee,16.0,9.0,7.7,10.4
"Florida, Union",Florida,Union,27.0,11.0,9.8,12.2
"Idaho, Minidoka",Idaho,Minidoka,16.5,6.5,5.7,7.4
"Georgia, Colquitt",Georgia,Colquitt,23.0,10.0,9.0,11.1
"Georgia, Twiggs",Georgia,Twiggs,23.5,11.5,10.2,12.7
"Georgia, Marion",Georgia,Marion,22.5,10.8,9.6,12.1
"Colorado, Yuma",Colorado,Yuma,16.4,6.6,5.6,7.6
"Florida, Clay",Florida,Clay,19.6,8.2,7.2,9.4
"Georgia, Quitman",Georgia,Quitman,23.5,14.2,12.6,15.7
"Idaho, Gooding",Idaho,Gooding,16.8,6.9,6.0,7.9
"Idaho, Jerome",Idaho,Jerome,18.0,6.5,5.7,7.3
"Connecticut, Litchfield",Connecticut,Litchfield,13.3,6.2,5.2,7.4
"Georgia, Hancock",Georgia,Hancock,25.8,11.8,10.6,13.0
"Georgia, Appling",Georgia,Appling,24.6,11.3,10.0,12.5
"Georgia, Toombs",Georgia,Toombs,22.5,10.1,9.0,11.4
"Florida, Gulf",Florida,Gulf,21.2,11.6,10.1,13.4
"Georgia, Columbia",Georgia,Columbia,16.0,5.8,5.0,6.7
"Florida, Walton",Florida,Walton,20.2,9.9,8.3,11.5
"Florida, St. Lucie",Florida,St. Lucie,17.0,9.3,8.2,10.4
"Florida, Polk",Florida,Polk,17.8,9.2,8.1,10.2
"Florida, Bay",Florida,Bay,21.6,9.5,8.3,10.8
"Georgia, Oglethorpe",Georgia,Oglethorpe,21.7,9.9,8.5,11.2
"Georgia, Cobb",Georgia,Cobb,14.2,5.2,4.5,6.0
"Idaho, Boise",Idaho,Boise,14.9,7.6,6.3,9.0
"Idaho, Fremont",Idaho,Fremont,16.6,6.9,5.8,8.0
"Georgia, Banks",Georgia,Banks,23.2,10.4,9.1,11.9
"Georgia, Crawford",Georgia,Crawford,23.2,10.7,9.5,12.0
"Florida, Hamilton",Florida,Hamilton,26.4,12.4,11.2,13.8
"Hawaii, Kalawao",Hawaii,Kalawao,14.6,8.2,6.6,9.9
"Georgia, Franklin",Georgia,Franklin,21.6,10.3,8.9,11.8
"Georgia, Talbot",Georgia,Talbot,23.2,11.8,10.7,13.1
"Georgia, Jasper",Georgia,Jasper,22.6,10.3,9.1,11.6
"Colorado, Sedgwick",Colorado,Sedgwick,17.3,8.5,7.3,9.8
"Georgia, Irwin",Georgia,Irwin,23.9,10.4,9.3,11.6
"Georgia, Clay",Georgia,Clay,25.5,14.7,13.2,16.3
"Florida, Columbia",Florida,Columbia,24.8,11.1,9.9,12.4
"Georgia, Habersham",Georgia,Habersham,19.8,8.7,7.5,10.1
"Idaho, Elmore",Idaho,Elmore,18.0,6.3,5.6,7.0
"Idaho, Latah",Idaho,Latah,13.6,5.1,4.4,6.0
"Georgia, Taliaferro",Georgia,Taliaferro,23.6,12.0,10.7,13.3
"Georgia, Madison",Georgia,Madison,21.3,9.6,8.2,11.0
"District of Columbia, District of Columbia",District of Columbia,District of Columbia,14.7,4.3,3.8,5.0
"Georgia, Barrow",Georgia,Barrow,21.2,7.4,6.5,8.4
"Georgia, Union",Georgia,Union,17.8,10.8,9.0,12.7
"Georgia, Turner",Georgia,Turner,23.9,11.2,10.1,12.5
"Georgia, Tattnall",Georgia,Tattnall,24.7,9.6,8.6,10.7
"Georgia, Bartow",Georgia,Bartow,21.0,8.6,7.6,9.8
"Florida, Alachua",Florida,Alachua,14.8,6.7,5.9,7.6
"Georgia, Baldwin",Georgia,Baldwin,20.6,8.5,7.5,9.4
"Georgia, Jeff Davis",Georgia,Jeff Davis,26.4,11.7,10.4,13.0
"Florida, Santa Rosa",Florida,Santa Rosa,19.3,8.3,7.1,9.6
"Georgia, Crisp",Georgia,Crisp,24.6,12.1,10.9,13.4
"Georgia, Tift",Georgia,Tift,22.2,8.9,7.9,9.9
"Georgia, Dougherty",Georgia,Dougherty,22.2,9.4,8.4,10.5
"Connecticut, Hartford",Connecticut,Hartford,12.9,5.2,4.5,6.1
"Georgia, Troup",Georgia,Troup,22.2,9.1,8.1,10.3
"Hawaii, Maui",Hawaii,Maui,15.2,5.0,4.6,5.5
"Idaho, Gem",Idaho,Gem,17.2,8.1,7.0,9.3
"Georgia, Harris",Georgia,Harris,16.6,7.1,6.1,8.2
"Georgia, Dooly",Georgia,Dooly,23.3,10.3,9.3,11.5
"Georgia, Randolph",Georgia,Randolph,25.2,13.9,12.4,15.3
"Florida, Pasco",Florida,Pasco,20.1,9.4,8.2,10.8
"Georgia, Cherokee",Georgia,Cherokee,15.1,6.0,5.0,7.0
"Georgia, Wilcox",Georgia,Wilcox,24.5,10.2,9.1,11.3
"Georgia, Wayne",Georgia,Wayne,24.0,9.9,8.8,11.1
"Florida, Orange",Florida,Orange,15.5,6.1,5.5,6.8
"Florida, Escambia",Florida,Escambia,18.7,8.5,7.5,9.6
"Georgia, Decatur",Georgia,Decatur,21.6,9.7,8.8,10.8
"Georgia, Muscogee",Georgia,Muscogee,20.6,7.6,6.8,8.4
"Georgia, Bulloch",Georgia,Bulloch,19.4,7.4,6.5,8.2
"Florida, Pinellas",Florida,Pinellas,17.7,9.4,8.0,11.0
"Colorado, Rio Grande",Colorado,Rio Grande,14.9,6.0,5.3,6.9
"Florida, St. Johns",Florida,St. Johns,15.7,7.5,6.3,8.8
"Idaho, Madison",Idaho,Madison,14.1,4.9,4.3,5.7
"Florida, Highlands",Florida,Highlands,18.2,12.0,10.4,13.7
"Connecticut, Fairfield",Connecticut,Fairfield,10.7,4.6,3.9,5.4
"Colorado, Weld",Colorado,Weld,15.0,4.7,4.0,5.3
"Georgia, Washington",Georgia,Washington,23.8,10.2,9.2,11.1
"Georgia, Calhoun",Georgia,Calhoun,27.9,11.2,10.1,12.3
"Georgia, Chattahoochee",Georgia,Chattahoochee,18.6,4.3,3.8,4.8
"Idaho, Nez Perce",Idaho,Nez Perce,16.4,7.2,6.2,8.3
"Georgia, Candler",Georgia,Candler,24.9,11.7,10.4,13.0
"Georgia, Hart",Georgia,Hart,22.1,10.9,9.5,12.3
"Colorado, Saguache",Colorado,Saguache,16.5,7.8,6.7,8.9
"Florida, Glades",Florida,Glades,22.9,12.0,10.6,13.4
"Florida, Putnam",Florida,Putnam,25.5,13.5,11.9,15.1
"Colorado, Rio Blanco",Colorado,Rio Blanco,16.7,6.3,5.5,7.2
"Georgia, Gwinnett",Georgia,Gwinnett,15.4,5.3,4.7,5.9
"Georgia, Lowndes",Georgia,Lowndes,19.3,7.6,6.7,8.5
"Delaware, Sussex",Delaware,Sussex,16.1,9.8,8.3,11.5
"Hawaii, Kauai",Hawaii,Kauai,14.1,5.1,4.6,5.6
"Florida, Indian River",Florida,Indian River,16.0,10.4,8.6,12.1
"Florida, Suwannee",Florida,Suwannee,21.8,11.3,9.9,12.8
"Georgia, Rabun",Georgia,Rabun,19.7,11.0,9.1,12.9
"Georgia, Paulding",Georgia,Paulding,18.9,6.5,5.7,7.4
"Idaho, Kootenai",Idaho,Kootenai,16.8,6.8,5.8,7.9
"Florida, Holmes",Florida,Holmes,25.6,13.5,11.8,15.2
"Georgia, McIntosh",Georgia,McIntosh,19.8,10.5,9.2,11.8
"Georgia, Hall",Georgia,Hall,17.9,7.1,6.1,8.1
"Colorado, Prowers",Colorado,Prowers,15.7,6.3,5.5,7.2
"Georgia, Murray",Georgia,Murray,23.1,9.6,8.3,10.9
"Georgia, Forsyth",Georgia,Forsyth,12.9,4.8,4.0,5.8
"Florida, Osceola",Florida,Osceola,15.8,6.5,5.9,7.2
"Georgia, Brooks",Georgia,Brooks,21.6,10.5,9.3,11.8
"Florida, Gilchrist",Florida,Gilchrist,22.9,12.4,10.9,14.0
"Georgia, Coweta",Georgia,Coweta,17.5,6.9,5.9,7.9
"Georgia, Morgan",Georgia,Morgan,18.6,8.2,7.2,9.4
"Idaho, Franklin",Idaho,Franklin,15.8,6.5,5.6,7.5
"Florida, Citrus",Florida,Citrus,19.9,13.3,11.4,15.3
"Georgia, Brantley",Georgia,Brantley,26.7,12.0,10.6,13.6
"Georgia, Camden",Georgia,Camden,18.8,7.2,6.3,8.2
"Idaho, Jefferson",Idaho,Jefferson,15.2,5.5,4.7,6.3
"Florida, Sumter",Florida,Sumter,13.2,11.7,9.4,14.4
"Florida, Jackson",Florida,Jackson,24.4,11.9,10.5,13.2
"Georgia, Chatham",Georgia,Chatham,17.6,6.8,6.0,7.7
"Georgia, Bryan",Georgia,Bryan,17.3,6.1,5.3,7.0
"Georgia, Warren",Georgia,Warren,24.2,12.5,11.1,14.0
"Idaho, Benewah",Idaho,Benewah,19.5,9.3,8.0,10.7
"Georgia, Cook",Georgia,Cook,23.5,10.5,9.4,11.7
"Delaware, New Castle",Delaware,New Castle,15.2,6.7,5.8,7.7
"Florida, Martin",Florida,Martin,15.2,9.5,7.9,11.2
"Colorado, Pueblo",Colorado,Pueblo,17.3,5.8,5.2,6.6
"Georgia, Floyd",Georgia,Floyd,21.4,8.9,7.7,10.3
"Georgia, White",Georgia,White,18.3,9.1,7.7,10.5
"Georgia, Mitchell",Georgia,Mitchell,24.7,10.8,9.7,11.9
"Georgia, Polk",Georgia,Polk,23.2,9.5,8.3,10.8
"Georgia, Screven",Georgia,Screven,23.8,10.6,9.4,11.8
"Georgia, Webster",Georgia,Webster,20.9,10.5,9.4,11.8
"Georgia, Meriwether",Georgia,Meriwether,23.6,11.4,10.2,12.6
"Georgia, Sumter",Georgia,Sumter,21.7,9.5,8.5,10.6
"Georgia, Haralson",Georgia,Haralson,22.5,9.6,8.3,11.1
"Louisiana, Beauregard",Louisiana,Beauregard,22.2,8.6,7.6,9.8
"Illinois, Greene",Illinois,Greene,20.7,9.1,7.9,10.4
"Iowa, Palo Alto",Iowa,Palo Alto,15.6,6.6,5.5,7.7
"Iowa, Hamilton",Iowa,Hamilton,16.7,6.8,5.7,7.9
"Iowa, Story",Iowa,Story,12.6,4.4,3.8,5.1
"Iowa, Lee",Iowa,Lee,19.7,7.8,6.8,8.9
"Iowa, Hardin",Iowa,Hardin,17.7,7.2,6.1,8.3
"Indiana, Harrison",Indiana,Harrison,21.7,9.4,8.1,10.8
"Illinois, Henderson",Illinois,Henderson,17.6,8.9,7.4,10.3
"Indiana, Clinton",Indiana,Clinton,20.6,9.1,7.8,10.5
"Indiana, Scott",Indiana,Scott,25.2,10.9,9.4,12.5
"Illinois, Clay",Illinois,Clay,20.6,9.7,8.3,11.1
"Indiana, Wayne",Indiana,Wayne,23.4,10.3,8.9,11.8
"Illinois, Wayne",Illinois,Wayne,19.9,9.5,8.2,10.9
"Indiana, Johnson",Indiana,Johnson,18.5,7.2,6.1,8.4
"Indiana, Clay",Indiana,Clay,22.2,9.8,8.4,11.3
"Indiana, Sullivan",Indiana,Sullivan,23.8,10.1,8.8,11.4
"Illinois, DeKalb",Illinois,DeKalb,16.0,5.8,5.0,6.7
"Indiana, Howard",Indiana,Howard,20.7,9.5,8.2,10.9
"Indiana, Knox",Indiana,Knox,21.1,9.7,8.5,11.2
"Illinois, Peoria",Illinois,Peoria,17.0,7.3,6.3,8.4
"Indiana, Kosciusko",Indiana,Kosciusko,18.9,8.5,7.2,10.0
"Indiana, Crawford",Indiana,Crawford,25.8,12.6,10.9,14.3
"Iowa, Delaware",Iowa,Delaware,18.1,7.3,6.2,8.5
"Iowa, Wapello",Iowa,Wapello,18.5,7.3,6.3,8.3
"Illinois, Rock Island",Illinois,Rock Island,17.8,7.3,6.3,8.4
"Indiana, Starke",Indiana,Starke,23.1,10.8,9.4,12.3
"Illinois, Jefferson",Illinois,Jefferson,20.1,8.9,7.6,10.2
"Iowa, Pottawattamie",Iowa,Pottawattamie,20.2,6.9,5.8,8.1
"Iowa, Marion",Iowa,Marion,15.4,6.1,5.2,7.2
"Iowa, Benton",Iowa,Benton,16.9,6.6,5.6,7.6
"Iowa, Chickasaw",Iowa,Chickasaw,17.9,7.3,6.2,8.4
"Illinois, Pike",Illinois,Pike,20.1,9.6,8.1,11.1
"Iowa, Buchanan",Iowa,Buchanan,17.4,6.6,5.7,7.6
"Indiana, Adams",Indiana,Adams,23.0,10.3,8.9,11.9
"Illinois, Effingham",Illinois,Effingham,18.2,7.7,6.6,9.1
"Iowa, Fayette",Iowa,Fayette,17.8,7.5,6.4,8.9
"Illinois, DuPage",Illinois,DuPage,11.0,4.8,4.0,5.7
"Iowa, Washington",Iowa,Washington,17.1,6.8,5.8,7.9
"Indiana, Jackson",Indiana,Jackson,22.2,9.6,8.3,10.9
"Indiana, Lake",Indiana,Lake,20.2,7.9,7.0,8.7
"Illinois, Piatt",Illinois,Piatt,16.3,7.1,6.0,8.3
"Illinois, Ogle",Illinois,Ogle,17.3,7.5,6.4,8.6
"Iowa, Dubuque",Iowa,Dubuque,15.4,6.0,5.0,7.1
"Illinois, Wabash",Illinois,Wabash,18.3,8.6,7.4,9.9
"Indiana, Fayette",Indiana,Fayette,24.8,11.8,10.2,13.5
"Indiana, Blackford",Indiana,Blackford,23.2,11.3,9.7,12.8
"Illinois, Woodford",Illinois,Woodford,15.4,6.7,5.6,7.9
"Indiana, Spencer",Indiana,Spencer,21.1,9.7,8.3,11.1
"Illinois, Crawford",Illinois,Crawford,19.7,8.5,7.2,9.8
"Iowa, Mahaska",Iowa,Mahaska,18.2,7.3,6.3,8.4
"Illinois, Marshall",Illinois,Marshall,17.9,8.5,7.3,9.7
"Iowa, Adair",Iowa,Adair,18.0,7.6,6.5,8.8
"Indiana, Floyd",Indiana,Floyd,18.9,7.9,6.7,9.1
"Illinois, Jasper",Illinois,Jasper,19.5,8.8,7.5,10.1
"Indiana, Vigo",Indiana,Vigo,21.5,9.0,7.7,10.5
"Illinois, Hardin",Illinois,Hardin,20.9,10.8,9.4,12.5
"Indiana, Fountain",Indiana,Fountain,21.2,9.9,8.6,11.3
"Iowa, Fremont",Iowa,Fremont,17.7,7.9,6.8,9.1
"Indiana, Noble",Indiana,Noble,21.2,9.0,7.7,10.2
"Indiana, Jay",Indiana,Jay,23.6,10.8,9.3,12.2
"Illinois, Montgomery",Illinois,Montgomery,20.1,9.2,7.8,10.6
"Iowa, Clayton",Iowa,Clayton,18.7,8.4,7.1,9.8
"Indiana, Tippecanoe",Indiana,Tippecanoe,16.2,6.3,5.4,7.2
"Iowa, Emmet",Iowa,Emmet,17.1,7.1,6.1,8.2
"Illinois, Morgan",Illinois,Morgan,19.4,8.6,7.4,9.8
"Indiana, Rush",Indiana,Rush,22.9,10.4,9.0,11.8
"Illinois, Cumberland",Illinois,Cumberland,20.0,9.2,7.8,10.5
"Indiana, Wabash",Indiana,Wabash,21.5,10.0,8.5,11.5
"Iowa, Warren",Iowa,Warren,16.0,5.5,4.6,6.4
"Illinois, Stephenson",Illinois,Stephenson,17.7,9.0,7.7,10.3
"Indiana, Jennings",Indiana,Jennings,22.7,9.9,8.7,11.3
"Illinois, Henry",Illinois,Henry,17.5,7.8,6.6,9.1
"Illinois, Sangamon",Illinois,Sangamon,16.9,7.3,6.1,8.6
"Illinois, Lake",Illinois,Lake,12.6,5.0,4.2,5.8
"Illinois, Gallatin",Illinois,Gallatin,22.0,11.3,9.8,12.9
"Idaho, Valley",Idaho,Valley,14.2,6.9,5.8,8.2
"Iowa, Des Moines",Iowa,Des Moines,18.7,7.9,6.7,9.1
"Illinois, Fayette",Illinois,Fayette,22.0,9.9,8.5,11.3
"Indiana, Huntington",Indiana,Huntington,20.6,9.0,7.7,10.3
"Illinois, Monroe",Illinois,Monroe,14.7,6.4,5.4,7.5
"Illinois, LaSalle",Illinois,LaSalle,18.4,8.0,6.9,9.2
"Iowa, Wayne",Iowa,Wayne,20.0,9.3,7.9,10.7
"Illinois, Whiteside",Illinois,Whiteside,17.5,7.9,6.8,9.0
"Indiana, Hendricks",Indiana,Hendricks,16.5,6.4,5.4,7.6
"Illinois, McDonough",Illinois,McDonough,17.0,7.4,6.4,8.5
"Iowa, Mills",Iowa,Mills,17.4,6.6,5.5,7.8
"Iowa, Jasper",Iowa,Jasper,17.7,6.8,5.9,7.9
"Iowa, Franklin",Iowa,Franklin,17.1,7.5,6.3,8.7
"Indiana, Tipton",Indiana,Tipton,19.2,9.2,7.7,10.8
"Iowa, Dallas",Iowa,Dallas,13.1,4.0,3.3,4.7
"Indiana, Porter",Indiana,Porter,17.6,7.5,6.4,8.7
"Illinois, Williamson",Illinois,Williamson,18.8,8.2,7.0,9.3
"Iowa, Howard",Iowa,Howard,17.7,7.4,6.3,8.5
"Indiana, Delaware",Indiana,Delaware,20.2,9.3,8.1,10.6
"Indiana, Marshall",Indiana,Marshall,21.0,9.6,8.2,11.0
"Iowa, Cherokee",Iowa,Cherokee,16.3,7.4,6.3,8.7
"Iowa, Buena Vista",Iowa,Buena Vista,16.3,6.1,5.2,7.0
"Indiana, Henry",Indiana,Henry,22.9,10.3,9.0,11.8
"Indiana, Fulton",Indiana,Fulton,20.6,9.6,8.3,10.9
"Illinois, Franklin",Illinois,Franklin,21.3,10.2,8.8,11.8
"Iowa, Kossuth",Iowa,Kossuth,16.8,7.6,6.5,8.8
"Illinois, Clinton",Illinois,Clinton,18.2,7.5,6.3,8.6
"Indiana, Hancock",Indiana,Hancock,17.5,7.6,6.4,8.9
"Indiana, Elkhart",Indiana,Elkhart,19.4,8.3,7.2,9.5
"Indiana, Bartholomew",Indiana,Bartholomew,18.9,7.6,6.3,8.9
"Iowa, Adams",Iowa,Adams,18.3,8.0,6.9,9.2
"Illinois, Stark",Illinois,Stark,19.3,9.4,8.0,10.9
"Illinois, Marion",Illinois,Marion,20.7,9.7,8.4,11.0
"Iowa, Audubon",Iowa,Audubon,17.6,8.1,6.8,9.4
"Indiana, LaGrange",Indiana,LaGrange,24.4,10.6,9.0,12.1
"Illinois, Carroll",Illinois,Carroll,17.5,8.6,7.3,9.9
"Indiana, Monroe",Indiana,Monroe,16.8,6.6,5.6,7.7
"Indiana, Pike",Indiana,Pike,21.8,10.4,8.9,12.0
"Illinois, Mercer",Illinois,Mercer,18.1,8.3,7.1,9.6
"Illinois, Edgar",Illinois,Edgar,18.5,8.7,7.5,10.1
"Illinois, Putnam",Illinois,Putnam,17.0,7.9,6.7,9.1
"Iowa, Woodbury",Iowa,Woodbury,17.9,6.1,5.2,7.1
"Indiana, Vermillion",Indiana,Vermillion,22.4,10.3,9.0,11.9
"Illinois, Winnebago",Illinois,Winnebago,17.7,7.7,6.7,8.7
"Iowa, Greene",Iowa,Greene,18.1,7.5,6.5,8.6
"Illinois, McLean",Illinois,McLean,14.9,5.7,4.9,6.6
"Iowa, Poweshiek",Iowa,Poweshiek,16.0,6.6,5.6,7.5
"Iowa, Monroe",Iowa,Monroe,18.7,7.6,6.4,8.8
"Illinois, Cook",Illinois,Cook,14.6,5.3,4.7,6.1
"Iowa, Montgomery",Iowa,Montgomery,19.0,8.2,7.1,9.5
"Illinois, Vermilion",Illinois,Vermilion,20.6,9.3,8.2,10.6
"Indiana, Perry",Indiana,Perry,22.2,9.4,8.2,10.8
"Illinois, Madison",Illinois,Madison,18.2,7.4,6.2,8.6
"Iowa, Appanoose",Iowa,Appanoose,19.6,8.8,7.6,10.2
"Indiana, Cass",Indiana,Cass,22.0,9.7,8.4,11.0
"Iowa, Carroll",Iowa,Carroll,16.9,6.8,5.8,8.0
"Illinois, Fulton",Illinois,Fulton,19.3,8.9,7.6,10.3
"Illinois, Knox",Illinois,Knox,19.2,9.1,7.9,10.5
"Illinois, Jo Daviess",Illinois,Jo Daviess,16.1,8.7,7.3,10.2
"Iowa, Keokuk",Iowa,Keokuk,19.3,7.7,6.6,8.9
"Illinois, Douglas",Illinois,Douglas,19.8,8.5,7.2,9.9
"Indiana, Randolph",Indiana,Randolph,22.1,10.6,9.2,12.2
"Indiana, Franklin",Indiana,Franklin,21.3,9.6,8.1,11.2
"Iowa, Marshall",Iowa,Marshall,17.1,6.6,5.6,7.6
"Iowa, Allamakee",Iowa,Allamakee,17.0,7.9,6.6,9.1
"Iowa, Shelby",Iowa,Shelby,16.7,7.2,6.1,8.5
"Indiana, Steuben",Indiana,Steuben,20.5,9.2,7.8,10.6
"Iowa, Crawford",Iowa,Crawford,18.5,6.8,5.9,7.9
"Indiana, St. Joseph",Indiana,St. Joseph,19.0,7.9,6.8,9.2
"Illinois, Will",Illinois,Will,14.2,5.5,4.8,6.3
"Indiana, Vanderburgh",Indiana,Vanderburgh,21.0,9.0,7.7,10.4
"Illinois, Moultrie",Illinois,Moultrie,19.3,8.5,7.1,9.9
"Iowa, Winneshiek",Iowa,Winneshiek,14.4,5.9,5.0,6.9
"Illinois, Randolph",Illinois,Randolph,21.0,8.8,7.6,10.1
"Iowa, Louisa",Iowa,Louisa,17.9,6.8,5.8,7.8
"Iowa, Linn",Iowa,Linn,15.3,5.7,4.8,6.7
"Illinois, Alexander",Illinois,Alexander,21.9,11.1,9.8,12.4
"Iowa, Bremer",Iowa,Bremer,14.8,5.8,4.9,6.7
"Iowa, Harrison",Iowa,Harrison,17.5,7.3,6.2,8.5
"Illinois, Cass",Illinois,Cass,19.5,8.3,7.1,9.4
"Indiana, Washington",Indiana,Washington,23.3,10.3,9.0,11.8
