State_County,State,County,Levels_Smokers,Levels_COPD
"Arkansas, Ouachita",Arkansas,Ouachita,22.8,11.4
"Arkansas, Independence",Arkansas,Independence,21.5,10.0
"Arkansas, Miller",Arkansas,Miller,21.6,9.7
"Arkansas, Sebastian",Arkansas,Sebastian,19.4,9.0
"Arkansas, Montgomery",Arkansas,Montgomery,22.6,13.0
"Alabama, Madison",Alabama,Madison,15.7,6.7
"California, Sutter",California,Sutter,14.4,6.2
"Colorado, Gunnison",Colorado,Gunnison,13.1,4.5
"Arizona, Yavapai",Arizona,Yavapai,15.5,9.3
"California, San Bernardino",California,San Bernardino,13.3,4.9
"California, Alpine",California,Alpine,14.7,8.4
"Arkansas, Howard",Arkansas,Howard,21.0,10.1
"California, Amador",California,Amador,13.5,7.4
"Colorado, Jefferson",Colorado,Jefferson,13.4,4.5
"Alabama, Elmore",Alabama,Elmore,20.2,8.1
"Arkansas, Cleburne",Arkansas,Cleburne,22.0,11.1
"Alabama, Escambia",Alabama,Escambia,23.8,11.1
"Colorado, Alamosa",Colorado,Alamosa,15.7,5.5
"Alabama, Lamar",Alabama,Lamar,23.2,12.0
"Alabama, Coffee",Alabama,Coffee,20.2,8.4
"Arkansas, Yell",Arkansas,Yell,22.6,10.6
"Colorado, Mesa",Colorado,Mesa,17.1,6.4
"Arkansas, Little River",Arkansas,Little River,21.7,10.6
"California, Tulare",California,Tulare,14.9,5.9
"Alaska, Southeast Fairbanks",Alaska,Southeast Fairbanks,21.0,7.2
"Arkansas, Nevada",Arkansas,Nevada,21.7,10.3
"Alaska, Hoonah-Angoon",Alaska,Hoonah-Angoon,21.5,9.0
"Alabama, Sumter",Alabama,Sumter,20.4,9.8
"California, San Diego",California,San Diego,11.0,4.6
"Arkansas, Scott",Arkansas,Scott,24.0,12.3
"Colorado, Delta",Colorado,Delta,18.0,8.6
"California, Colusa",California,Colusa,13.5,5.5
"Colorado, Kit Carson",Colorado,Kit Carson,17.0,6.9
"Arizona, Coconino",Arizona,Coconino,16.7,5.9
"Arkansas, Drew",Arkansas,Drew,19.9,9.0
"Arkansas, Newton",Arkansas,Newton,19.9,11.3
"Colorado, Jackson",Colorado,Jackson,16.6,7.2
"Alabama, Fayette",Alabama,Fayette,23.0,11.7
"Alabama, Marshall",Alabama,Marshall,21.9,10.0
"California, San Luis Obispo",California,San Luis Obispo,11.0,5.5
