State_County,State,County,Levels_Smokers,Levels_COPD
"Florida, Polk",Florida,Polk,17.8,9.2
"Florida, Bay",Florida,Bay,21.6,9.5
"Georgia, Oglethorpe",Georgia,Oglethorpe,21.7,9.9
"Georgia, Cobb",Georgia,Cobb,14.2,5.2
"Idaho, Boise",Idaho,Boise,14.9,7.6
"Idaho, Fremont",Idaho,Fremont,16.6,6.9
"Georgia, Banks",Georgia,Banks,23.2,10.4
"Georgia, Crawford",Georgia,Crawford,23.2,10.7
"Florida, Hamilton",Florida,Hamilton,26.4,12.4
"Hawaii, Kalawao",Hawaii,Kalawao,14.6,8.2
"Georgia, Franklin",Georgia,Franklin,21.6,10.3
"Georgia, Talbot",Georgia,Talbot,23.2,11.8
"Georgia, Jasper",Georgia,Jasper,22.6,10.3
"Colorado, Sedgwick",Colorado,Sedgwick,17.3,8.5
"Georgia, Irwin",Georgia,Irwin,23.9,10.4
"Georgia, Clay",Georgia,Clay,25.5,14.7
"Florida, Columbia",Florida,Columbia,24.8,11.1
"Georgia, Habersham",Georgia,Habersham,19.8,8.7
"Idaho, Elmore",Idaho,Elmore,18.0,6.3
"Idaho, Latah",Idaho,Latah,13.6,5.1
"Georgia, Taliaferro",Georgia,Taliaferro,23.6,12.0
"Georgia, Madison",Georgia,Madison,21.3,9.6
"District of Columbia, District of Columbia",District of Columbia,District of Columbia,14.7,4.3
"Georgia, Barrow",Georgia,Barrow,21.2,7.4
"Georgia, Union",Georgia,Union,17.8,10.8
"Georgia, Turner",Georgia,Turner,23.9,11.2
"Georgia, Tattnall",Georgia,Tattnall,24.7,9.6
"Georgia, Bartow",Georgia,Bartow,21.0,8.6
"Florida, Alachua",Florida,Alachua,14.8,6.7
"Georgia, Baldwin",Georgia,Baldwin,20.6,8.5
"Georgia, Jeff Davis",Georgia,Jeff Davis,26.4,11.7
"Florida, Santa Rosa",Florida,Santa Rosa,19.3,8.3
"Georgia, Crisp",Georgia,Crisp,24.6,12.1
"Georgia, Tift",Georgia,Tift,22.2,8.9
"Georgia, Dougherty",Georgia,Dougherty,22.2,9.4
"Connecticut, Hartford",Connecticut,Hartford,12.9,5.2
"Georgia, Troup",Georgia,Troup,22.2,9.1
"Hawaii, Maui",Hawaii,Maui,15.2,5.0
"Idaho, Gem",Idaho,Gem,17.2,8.1
"Georgia, Harris",Georgia,Harris,16.6,7.1
"Georgia, Dooly",Georgia,Dooly,23.3,10.3
"Georgia, Randolph",Georgia,Randolph,25.2,13.9
"Florida, Pasco",Florida,Pasco,20.1,9.4
"Georgia, Cherokee",Georgia,Cherokee,15.1,6.0
"Georgia, Wilcox",Georgia,Wilcox,24.5,10.2
"Georgia, Wayne",Georgia,Wayne,24.0,9.9
"Florida, Orange",Florida,Orange,15.5,6.1
"Florida, Escambia",Florida,Escambia,18.7,8.5
"Georgia, Decatur",Georgia,Decatur,21.6,9.7
"Georgia, Muscogee",Georgia,Muscogee,20.6,7.6
"Georgia, Bulloch",Georgia,Bulloch,19.4,7.4
"Florida, Pinellas",Florida,Pinellas,17.7,9.4
"Colorado, Rio Grande",Colorado,Rio Grande,14.9,6.0
"Florida, St. Johns",Florida,St. Johns,15.7,7.5
"Idaho, Madison",Idaho,Madison,14.1,4.9
"Florida, Highlands",Florida,Highlands,18.2,12.0
"Connecticut, Fairfield",Connecticut,Fairfield,10.7,4.6
"Colorado, Weld",Colorado,Weld,15.0,4.7
"Georgia, Washington",Georgia,Washington,23.8,10.2
"Georgia, Calhoun",Georgia,Calhoun,27.9,11.2
"Georgia, Chattahoochee",Georgia,Chattahoochee,18.6,4.3
"Idaho, Nez Perce",Idaho,Nez Perce,16.4,7.2
"Georgia, Candler",Georgia,Candler,24.9,11.7
"Georgia, Hart",Georgia,Hart,22.1,10.9
"Colorado, Saguache",Colorado,Saguache,16.5,7.8
"Florida, Glades",Florida,Glades,22.9,12.0
"Florida, Putnam",Florida,Putnam,25.5,13.5
"Colorado, Rio Blanco",Colorado,Rio Blanco,16.7,6.3
"Georgia, Gwinnett",Georgia,Gwinnett,15.4,5.3
"Georgia, Lowndes",Georgia,Lowndes,19.3,7.6
"Delaware, Sussex",Delaware,Sussex,16.1,9.8
"Hawaii, Kauai",Hawaii,Kauai,14.1,5.1
"Florida, Indian River",Florida,Indian River,16.0,10.4
"Florida, Suwannee",Florida,Suwannee,21.8,11.3
"Georgia, Rabun",Georgia,Rabun,19.7,11.0
"Georgia, Paulding",Georgia,Paulding,18.9,6.5
"Idaho, Kootenai",Idaho,Kootenai,16.8,6.8
"Florida, Holmes",Florida,Holmes,25.6,13.5
"Georgia, McIntosh",Georgia,McIntosh,19.8,10.5
"Georgia, Hall",Georgia,Hall,17.9,7.1
"Colorado, Prowers",Colorado,Prowers,15.7,6.3
"Georgia, Murray",Georgia,Murray,23.1,9.6
"Georgia, Forsyth",Georgia,Forsyth,12.9,4.8
"Florida, Osceola",Florida,Osceola,15.8,6.5
"Georgia, Brooks",Georgia,Brooks,21.6,10.5
"Florida, Gilchrist",Florida,Gilchrist,22.9,12.4
"Georgia, Coweta",Georgia,Coweta,17.5,6.9
"Georgia, Morgan",Georgia,Morgan,18.6,8.2
"Idaho, Franklin",Idaho,Franklin,15.8,6.5
"Florida, Citrus",Florida,Citrus,19.9,13.3
"Georgia, Brantley",Georgia,Brantley,26.7,12.0
"Georgia, Camden",Georgia,Camden,18.8,7.2
"Idaho, Jefferson",Idaho,Jefferson,15.2,5.5
"Florida, Sumter",Florida,Sumter,13.2,11.7
"Florida, Jackson",Florida,Jackson,24.4,11.9
"Georgia, Chatham",Georgia,Chatham,17.6,6.8
"Georgia, Bryan",Georgia,Bryan,17.3,6.1
"Georgia, Warren",Georgia,Warren,24.2,12.5
"Idaho, Benewah",Idaho,Benewah,19.5,9.3
"Georgia, Cook",Georgia,Cook,23.5,10.5
"Delaware, New Castle",Delaware,New Castle,15.2,6.7
"Florida, Martin",Florida,Martin,15.2,9.5
"Colorado, Pueblo",Colorado,Pueblo,17.3,5.8
"Georgia, Floyd",Georgia,Floyd,21.4,8.9
"Georgia, White",Georgia,White,18.3,9.1
"Georgia, Mitchell",Georgia,Mitchell,24.7,10.8
"Georgia, Polk",Georgia,Polk,23.2,9.5
"Georgia, Screven",Georgia,Screven,23.8,10.6
"Georgia, Webster",Georgia,Webster,20.9,10.5
"Georgia, Meriwether",Georgia,Meriwether,23.6,11.4
"Georgia, Sumter",Georgia,Sumter,21.7,9.5
"Georgia, Haralson",Georgia,Haralson,22.5,9.6
"Louisiana, Beauregard",Louisiana,Beauregard,22.2,8.6
"Illinois, Greene",Illinois,Greene,20.7,9.1
"Iowa, Palo Alto",Iowa,Palo Alto,15.6,6.6
"Iowa, Hamilton",Iowa,Hamilton,16.7,6.8
"Iowa, Story",Iowa,Story,12.6,4.4
"Iowa, Lee",Iowa,Lee,19.7,7.8
"Iowa, Hardin",Iowa,Hardin,17.7,7.2
"Indiana, Harrison",Indiana,Harrison,21.7,9.4
"Illinois, Henderson",Illinois,Henderson,17.6,8.9
"Indiana, Clinton",Indiana,Clinton,20.6,9.1
"Indiana, Scott",Indiana,Scott,25.2,10.9
"Illinois, Clay",Illinois,Clay,20.6,9.7
"Indiana, Wayne",Indiana,Wayne,23.4,10.3
"Illinois, Wayne",Illinois,Wayne,19.9,9.5
"Indiana, Johnson",Indiana,Johnson,18.5,7.2
"Indiana, Clay",Indiana,Clay,22.2,9.8
"Indiana, Sullivan",Indiana,Sullivan,23.8,10.1
"Illinois, DeKalb",Illinois,DeKalb,16.0,5.8
"Indiana, Howard",Indiana,Howard,20.7,9.5
"Indiana, Knox",Indiana,Knox,21.1,9.7
"Illinois, Peoria",Illinois,Peoria,17.0,7.3
"Indiana, Kosciusko",Indiana,Kosciusko,18.9,8.5
"Indiana, Crawford",Indiana,Crawford,25.8,12.6
"Iowa, Delaware",Iowa,Delaware,18.1,7.3
"Iowa, Wapello",Iowa,Wapello,18.5,7.3
"Illinois, Rock Island",Illinois,Rock Island,17.8,7.3
"Indiana, Starke",Indiana,Starke,23.1,10.8
"Illinois, Jefferson",Illinois,Jefferson,20.1,8.9
"Iowa, Pottawattamie",Iowa,Pottawattamie,20.2,6.9
"Iowa, Marion",Iowa,Marion,15.4,6.1
"Iowa, Benton",Iowa,Benton,16.9,6.6
"Iowa, Chickasaw",Iowa,Chickasaw,17.9,7.3
"Illinois, Pike",Illinois,Pike,20.1,9.6
"Iowa, Buchanan",Iowa,Buchanan,17.4,6.6
"Indiana, Adams",Indiana,Adams,23.0,10.3
"Illinois, Effingham",Illinois,Effingham,18.2,7.7
"Iowa, Fayette",Iowa,Fayette,17.8,7.5
"Illinois, DuPage",Illinois,DuPage,11.0,4.8
"Iowa, Washington",Iowa,Washington,17.1,6.8
"Indiana, Jackson",Indiana,Jackson,22.2,9.6
"Indiana, Lake",Indiana,Lake,20.2,7.9
"Illinois, Piatt",Illinois,Piatt,16.3,7.1
"Illinois, Ogle",Illinois,Ogle,17.3,7.5
"Iowa, Dubuque",Iowa,Dubuque,15.4,6.0
"Illinois, Wabash",Illinois,Wabash,18.3,8.6
"Indiana, Fayette",Indiana,Fayette,24.8,11.8
"Indiana, Blackford",Indiana,Blackford,23.2,11.3
"Illinois, Woodford",Illinois,Woodford,15.4,6.7
"Indiana, Spencer",Indiana,Spencer,21.1,9.7
"Illinois, Crawford",Illinois,Crawford,19.7,8.5
"Iowa, Mahaska",Iowa,Mahaska,18.2,7.3
"Illinois, Marshall",Illinois,Marshall,17.9,8.5
"Iowa, Adair",Iowa,Adair,18.0,7.6
"Indiana, Floyd",Indiana,Floyd,18.9,7.9
"Illinois, Jasper",Illinois,Jasper,19.5,8.8
"Indiana, Vigo",Indiana,Vigo,21.5,9.0
"Illinois, Hardin",Illinois,Hardin,20.9,10.8
"Indiana, Fountain",Indiana,Fountain,21.2,9.9
"Iowa, Fremont",Iowa,Fremont,17.7,7.9
"Indiana, Noble",Indiana,Noble,21.2,9.0
"Indiana, Jay",Indiana,Jay,23.6,10.8
"Illinois, Montgomery",Illinois,Montgomery,20.1,9.2
"Iowa, Clayton",Iowa,Clayton,18.7,8.4
"Indiana, Tippecanoe",Indiana,Tippecanoe,16.2,6.3
"Iowa, Emmet",Iowa,Emmet,17.1,7.1
"Illinois, Morgan",Illinois,Morgan,19.4,8.6
"Indiana, Rush",Indiana,Rush,22.9,10.4
"Illinois, Cumberland",Illinois,Cumberland,20.0,9.2
"Indiana, Wabash",Indiana,Wabash,21.5,10.0
"Iowa, Warren",Iowa,Warren,16.0,5.5
"Illinois, Stephenson",Illinois,Stephenson,17.7,9.0
"Indiana, Jennings",Indiana,Jennings,22.7,9.9
"Illinois, Henry",Illinois,Henry,17.5,7.8
"Illinois, Sangamon",Illinois,Sangamon,16.9,7.3
"Illinois, Lake",Illinois,Lake,12.6,5.0
"Illinois, Gallatin",Illinois,Gallatin,22.0,11.3
"Idaho, Valley",Idaho,Valley,14.2,6.9
"Iowa, Des Moines",Iowa,Des Moines,18.7,7.9
"Illinois, Fayette",Illinois,Fayette,22.0,9.9
"Indiana, Huntington",Indiana,Huntington,20.6,9.0
"Illinois, Monroe",Illinois,Monroe,14.7,6.4
"Illinois, LaSalle",Illinois,LaSalle,18.4,8.0
"Iowa, Wayne",Iowa,Wayne,20.0,9.3
"Illinois, Whiteside",Illinois,Whiteside,17.5,7.9
"Indiana, Hendricks",Indiana,Hendricks,16.5,6.4
"Illinois, McDonough",Illinois,McDonough,17.0,7.4
"Iowa, Mills",Iowa,Mills,17.4,6.6
"Iowa, Jasper",Iowa,Jasper,17.7,6.8
"Iowa, Franklin",Iowa,Franklin,17.1,7.5
"Indiana, Tipton",Indiana,Tipton,19.2,9.2
"Iowa, Dallas",Iowa,Dallas,13.1,4.0
"Indiana, Porter",Indiana,Porter,17.6,7.5
"Illinois, Williamson",Illinois,Williamson,18.8,8.2
"Iowa, Howard",Iowa,Howard,17.7,7.4
"Indiana, Delaware",Indiana,Delaware,20.2,9.3
"Indiana, Marshall",Indiana,Marshall,21.0,9.6
"Iowa, Cherokee",Iowa,Cherokee,16.3,7.4
"Iowa, Buena Vista",Iowa,Buena Vista,16.3,6.1
"Indiana, Henry",Indiana,Henry,22.9,10.3
"Indiana, Fulton",Indiana,Fulton,20.6,9.6
"Illinois, Franklin",Illinois,Franklin,21.3,10.2
"Iowa, Kossuth",Iowa,Kossuth,16.8,7.6
"Illinois, Clinton",Illinois,Clinton,18.2,7.5
"Indiana, Hancock",Indiana,Hancock,17.5,7.6
"Indiana, Elkhart",Indiana,Elkhart,19.4,8.3
"Indiana, Bartholomew",Indiana,Bartholomew,18.9,7.6
"Iowa, Adams",Iowa,Adams,18.3,8.0
"Illinois, Stark",Illinois,Stark,19.3,9.4
"Illinois, Marion",Illinois,Marion,20.7,9.7
"Iowa, Audubon",Iowa,Audubon,17.6,8.1
"Indiana, LaGrange",Indiana,LaGrange,24.4,10.6
"Illinois, Carroll",Illinois,Carroll,17.5,8.6
"Indiana, Monroe",Indiana,Monroe,16.8,6.6
"Indiana, Pike",Indiana,Pike,21.8,10.4
"Illinois, Mercer",Illinois,Mercer,18.1,8.3
"Illinois, Edgar",Illinois,Edgar,18.5,8.7
"Illinois, Putnam",Illinois,Putnam,17.0,7.9
"Iowa, Woodbury",Iowa,Woodbury,17.9,6.1
"Indiana, Vermillion",Indiana,Vermillion,22.4,10.3
"Illinois, Winnebago",Illinois,Winnebago,17.7,7.7
"Iowa, Greene",Iowa,Greene,18.1,7.5
"Illinois, McLean",Illinois,McLean,14.9,5.7
"Iowa, Poweshiek",Iowa,Poweshiek,16.0,6.6
"Iowa, Monroe",Iowa,Monroe,18.7,7.6
"Illinois, Cook",Illinois,Cook,14.6,5.3
"Iowa, Montgomery",Iowa,Montgomery,19.0,8.2
"Illinois, Vermilion",Illinois,Vermilion,20.6,9.3
"Indiana, Perry",Indiana,Perry,22.2,9.4
"Illinois, Madison",Illinois,Madison,18.2,7.4
"Iowa, Appanoose",Iowa,Appanoose,19.6,8.8
"Indiana, Cass",Indiana,Cass,22.0,9.7
"Iowa, Carroll",Iowa,Carroll,16.9,6.8
"Illinois, Fulton",Illinois,Fulton,19.3,8.9
"Illinois, Knox",Illinois,Knox,19.2,9.1
"Illinois, Jo Daviess",Illinois,Jo Daviess,16.1,8.7
"Iowa, Keokuk",Iowa,Keokuk,19.3,7.7
"Illinois, Douglas",Illinois,Douglas,19.8,8.5
"Indiana, Randolph",Indiana,Randolph,22.1,10.6
"Indiana, Franklin",Indiana,Franklin,21.3,9.6
"Iowa, Marshall",Iowa,Marshall,17.1,6.6
"Iowa, Allamakee",Iowa,Allamakee,17.0,7.9
"Iowa, Shelby",Iowa,Shelby,16.7,7.2
"Indiana, Steuben",Indiana,Steuben,20.5,9.2
"Iowa, Crawford",Iowa,Crawford,18.5,6.8
"Indiana, St. Joseph",Indiana,St. Joseph,19.0,7.9
"Illinois, Will",Illinois,Will,14.2,5.5
"Indiana, Vanderburgh",Indiana,Vanderburgh,21.0,9.0
"Illinois, Moultrie",Illinois,Moultrie,19.3,8.5
"Iowa, Winneshiek",Iowa,Winneshiek,14.4,5.9
"Illinois, Randolph",Illinois,Randolph,21.0,8.8
"Iowa, Louisa",Iowa,Louisa,17.9,6.8
"Iowa, Linn",Iowa,Linn,15.3,5.7
"Illinois, Alexander",Illinois,Alexander,21.9,11.1
"Iowa, Bremer",Iowa,Bremer,14.8,5.8
"Iowa, Harrison",Iowa,Harrison,17.5,7.3
"Illinois, Cass",Illinois,Cass,19.5,8.3
"Indiana, Washington",Indiana,Washington,23.3,10.3
"Indiana, Miami",Indiana,Miami,23.1,10.2
"Iowa, Page",Iowa,Page,18.5,7.3
"Iowa, Decatur",Iowa,Decatur,17.5,7.6
"Indiana, Montgomery",Indiana,Montgomery,21.4,9.4
"Iowa, Butler",Iowa,Butler,16.9,7.4
"Illinois, De Witt",Illinois,De Witt,18.9,8.5
"Indiana, Parke",Indiana,Parke,23.0,10.8
"Indiana, Gibson",Indiana,Gibson,20.7,9.0
"Iowa, Davis",Iowa,Davis,20.0,7.7
"Illinois, McHenry",Illinois,McHenry,15.0,5.7
"Iowa, Pocahontas",Iowa,Pocahontas,18.9,8.0
"Illinois, Kendall",Illinois,Kendall,13.7,4.5
"Iowa, Boone",Iowa,Boone,18.3,6.5
"Illinois, Macon",Illinois,Macon,19.1,8.6
"Illinois, Tazewell",Illinois,Tazewell,17.2,7.5
"Illinois, White",Illinois,White,20.1,9.6
"Iowa, Webster",Iowa,Webster,18.9,7.3
"Indiana, Martin",Indiana,Martin,22.0,10.2
"Indiana, Lawrence",Indiana,Lawrence,21.8,10.2
"Indiana, Union",Indiana,Union,21.7,10.1
"Illinois, Richland",Illinois,Richland,19.4,9.3
"Indiana, Ohio",Indiana,Ohio,21.0,9.8
"Iowa, Winnebago",Iowa,Winnebago,16.5,6.9
"Illinois, Johnson",Illinois,Johnson,19.9,8.9
"Indiana, Morgan",Indiana,Morgan,20.5,9.2
"Idaho, Washington",Idaho,Washington,16.8,8.8
"Indiana, White",Indiana,White,20.3,9.5
"Iowa, Grundy",Iowa,Grundy,15.4,6.3
"Illinois, Menard",Illinois,Menard,17.1,7.7
"Iowa, Osceola",Iowa,Osceola,17.1,7.6
"Illinois, Hancock",Illinois,Hancock,18.1,9.0
"Iowa, Clinton",Iowa,Clinton,19.1,7.8
"Iowa, Lyon",Iowa,Lyon,17.4,6.6
"Indiana, Greene",Indiana,Greene,22.0,10.5
"Illinois, Bond",Illinois,Bond,19.0,8.2
"Illinois, Livingston",Illinois,Livingston,19.9,8.8
"Indiana, Warren",Indiana,Warren,19.8,9.4
"Indiana, Clark",Indiana,Clark,20.6,8.6
"Indiana, Warrick",Indiana,Warrick,17.3,7.6
"Iowa, Union",Iowa,Union,18.6,7.7
"Indiana, Decatur",Indiana,Decatur,21.0,9.1
"Illinois, Lee",Illinois,Lee,18.4,8.0
"Iowa, Scott",Iowa,Scott,17.6,6.0
"Indiana, Boone",Indiana,Boone,15.7,6.1
"Illinois, Lawrence",Illinois,Lawrence,21.2,8.7
"Iowa, Johnson",Iowa,Johnson,13.6,4.4
"Indiana, Shelby",Indiana,Shelby,21.7,9.3
"Idaho, Power",Idaho,Power,16.4,6.5
"Iowa, Ida",Iowa,Ida,17.4,7.1
"Illinois, Schuyler",Illinois,Schuyler,19.4,9.3
"Indiana, Jefferson",Indiana,Jefferson,21.4,9.6
"Illinois, Scott",Illinois,Scott,19.6,8.8
"Iowa, Muscatine",Iowa,Muscatine,16.6,6.1
"Illinois, Coles",Illinois,Coles,18.8,8.0
"Iowa, Humboldt",Iowa,Humboldt,17.5,7.6
"Iowa, Calhoun",Iowa,Calhoun,18.0,7.6
"Illinois, Bureau",Illinois,Bureau,17.0,8.1
"Iowa, Cedar",Iowa,Cedar,16.2,6.3
"Iowa, Taylor",Iowa,Taylor,18.7,7.9
"Idaho, Teton",Idaho,Teton,13.7,4.7
"Indiana, Brown",Indiana,Brown,18.4,9.7
"Indiana, Newton",Indiana,Newton,21.7,10.0
"Illinois, Union",Illinois,Union,19.7,9.5
"Idaho, Shoshone",Idaho,Shoshone,21.1,10.1
"Illinois, Edwards",Illinois,Edwards,18.8,8.8
"Iowa, Cerro Gordo",Iowa,Cerro Gordo,16.4,6.9
"Indiana, Hamilton",Indiana,Hamilton,12.7,5.0
"Illinois, Shelby",Illinois,Shelby,19.2,9.1
"Iowa, Madison",Iowa,Madison,16.9,6.1
"Indiana, Wells",Indiana,Wells,20.0,9.0
"Iowa, Jackson",Iowa,Jackson,17.9,7.7
"Illinois, Kankakee",Illinois,Kankakee,17.7,7.5
"Indiana, DeKalb",Indiana,DeKalb,21.2,8.9
"Iowa, Van Buren",Iowa,Van Buren,19.7,8.4
"Indiana, Orange",Indiana,Orange,24.0,11.6
"Iowa, Floyd",Iowa,Floyd,18.5,7.8
"Indiana, Owen",Indiana,Owen,23.3,11.4
"Illinois, St. Clair",Illinois,St. Clair,18.0,7.3
"Illinois, Clark",Illinois,Clark,19.1,8.7
"Indiana, Marion",Indiana,Marion,18.8,7.4
"Illinois, Massac",Illinois,Massac,20.3,9.8
"Iowa, Lucas",Iowa,Lucas,19.1,8.0
"Indiana, Grant",Indiana,Grant,21.3,10.1
"Iowa, Plymouth",Iowa,Plymouth,15.6,6.4
"Iowa, Hancock",Iowa,Hancock,16.5,7.0
"Illinois, Adams",Illinois,Adams,17.9,8.1
"Illinois, Champaign",Illinois,Champaign,14.6,5.5
"Iowa, Sioux",Iowa,Sioux,14.7,5.4
"Iowa, Mitchell",Iowa,Mitchell,17.3,7.4
"Indiana, Allen",Indiana,Allen,19.2,7.8
"Illinois, Jackson",Illinois,Jackson,17.9,7.5
"Indiana, Carroll",Indiana,Carroll,20.3,9.6
"Illinois, Christian",Illinois,Christian,19.7,8.8
"Illinois, Hamilton",Illinois,Hamilton,18.8,9.0
"Illinois, Perry",Illinois,Perry,21.2,9.0
"Iowa, Clay",Iowa,Clay,17.0,7.1
"Illinois, Jersey",Illinois,Jersey,17.9,7.9
"Illinois, Washington",Illinois,Washington,17.3,7.8
"Illinois, Kane",Illinois,Kane,14.9,5.4
"Indiana, Ripley",Indiana,Ripley,21.3,9.5
"Iowa, Sac",Iowa,Sac,16.8,7.3
"Iowa, Iowa",Iowa,Iowa,17.0,6.8
"Iowa, Clarke",Iowa,Clarke,18.1,7.5
"Indiana, Putnam",Indiana,Putnam,20.6,8.6
"Indiana, LaPorte",Indiana,LaPorte,24.1,9.9
"Idaho, Twin Falls",Idaho,Twin Falls,16.3,6.4
"Illinois, Brown",Illinois,Brown,20.9,7.0
"Indiana, Dearborn",Indiana,Dearborn,21.0,9.1
"Indiana, Whitley",Indiana,Whitley,20.0,8.9
"Iowa, Jones",Iowa,Jones,18.3,7.4
"Illinois, Mason",Illinois,Mason,20.1,9.7
"Illinois, Grundy",Illinois,Grundy,16.9,6.3
"Illinois, Macoupin",Illinois,Macoupin,19.3,8.9
"Illinois, Saline",Illinois,Saline,21.2,10.2
"Iowa, Black Hawk",Iowa,Black Hawk,18.0,6.3
"Illinois, Pulaski",Illinois,Pulaski,21.9,11.0
"Iowa, Tama",Iowa,Tama,17.8,7.2
"Illinois, Logan",Illinois,Logan,18.3,7.5
"Indiana, Jasper",Indiana,Jasper,20.4,8.8
"Illinois, Iroquois",Illinois,Iroquois,19.1,9.1
"Illinois, Ford",Illinois,Ford,18.8,8.6
"Iowa, Ringgold",Iowa,Ringgold,17.1,7.8
"Illinois, Calhoun",Illinois,Calhoun,18.7,9.2
"Iowa, Guthrie",Iowa,Guthrie,17.0,7.4
"Indiana, Posey",Indiana,Posey,19.5,8.7
"Indiana, Daviess",Indiana,Daviess,24.0,10.7
"Indiana, Dubois",Indiana,Dubois,18.7,8.4
"Iowa, Jefferson",Iowa,Jefferson,15.8,6.7
"Iowa, Polk",Iowa,Polk,17.5,5.4
"Indiana, Pulaski",Indiana,Pulaski,22.3,10.5
"Illinois, Warren",Illinois,Warren,17.3,7.8
"Indiana, Benton",Indiana,Benton,21.8,10.2
"Illinois, Boone",Illinois,Boone,16.5,6.6
"Iowa, O'Brien",Iowa,O'Brien,18.0,7.3
"Indiana, Madison",Indiana,Madison,23.5,10.3
"Illinois, Pope",Illinois,Pope,19.4,10.4
"Indiana, Switzerland",Indiana,Switzerland,25.2,11.8
"Iowa, Dickinson",Iowa,Dickinson,14.9,6.8
"Iowa, Henry",Iowa,Henry,18.0,6.8
"Louisiana, Acadia",Louisiana,Acadia,24.1,10.4
"Kentucky, Letcher",Kentucky,Letcher,30.7,16.2
"Kentucky, Clark",Kentucky,Clark,22.9,10.4
"Kansas, Morris",Kansas,Morris,17.1,8.1
"Kentucky, Rowan",Kentucky,Rowan,24.8,11.0
"Kansas, Osage",Kansas,Osage,18.5,8.5
"Kentucky, Webster",Kentucky,Webster,27.6,12.9
"Kentucky, Barren",Kentucky,Barren,27.2,12.7
"Kansas, Geary",Kansas,Geary,17.9,4.6
"Kentucky, Nelson",Kentucky,Nelson,22.1,9.2
"Louisiana, Union",Louisiana,Union,21.9,9.7
"Kansas, Comanche",Kansas,Comanche,16.0,7.8
"Kansas, Greeley",Kansas,Greeley,15.1,6.6
"Louisiana, Lincoln",Louisiana,Lincoln,18.7,7.2
"Kansas, Morton",Kansas,Morton,17.1,7.7
"Kentucky, Owen",Kentucky,Owen,26.6,12.6
"Louisiana, West Carroll",Louisiana,West Carroll,24.5,10.8
"Kentucky, Trimble",Kentucky,Trimble,25.3,11.7
"Kansas, Decatur",Kansas,Decatur,16.5,8.6
"Louisiana, Tensas",Louisiana,Tensas,27.1,14.5
"Kansas, Sherman",Kansas,Sherman,15.3,6.6
"Kentucky, Fayette",Kentucky,Fayette,16.9,7.2
"Kansas, Neosho",Kansas,Neosho,18.9,8.5
"Kentucky, Fleming",Kentucky,Fleming,26.7,12.9
"Kansas, Pratt",Kansas,Pratt,16.0,7.2
"Kentucky, Estill",Kentucky,Estill,30.0,15.1
"Kentucky, Laurel",Kentucky,Laurel,26.5,12.8
"Kansas, Clay",Kansas,Clay,16.0,7.6
"Kentucky, Lawrence",Kentucky,Lawrence,30.5,14.9
"Kentucky, Anderson",Kentucky,Anderson,22.5,10.1
"Louisiana, Assumption",Louisiana,Assumption,24.9,10.6
"Kansas, Gove",Kansas,Gove,16.7,8.5
"Kansas, Ellis",Kansas,Ellis,15.5,6.2
"Louisiana, Evangeline",Louisiana,Evangeline,27.5,11.3
"Louisiana, Plaquemines",Louisiana,Plaquemines,21.4,7.8
"Louisiana, St. Landry",Louisiana,St. Landry,26.0,10.5
"Kentucky, Lincoln",Kentucky,Lincoln,27.2,13.3
"Kentucky, Mason",Kentucky,Mason,23.6,11.1
"Kentucky, Franklin",Kentucky,Franklin,20.2,9.1
"Kansas, Butler",Kansas,Butler,16.5,6.4
"Maine, Cumberland",Maine,Cumberland,13.5,6.8
"Louisiana, Rapides",Louisiana,Rapides,21.4,8.7
"Kansas, Thomas",Kansas,Thomas,17.0,6.9
"Kentucky, Magoffin",Kentucky,Magoffin,30.7,15.8
"Louisiana, Terrebonne",Louisiana,Terrebonne,24.2,9.6
"Kansas, Russell",Kansas,Russell,17.1,8.5
"Kentucky, Union",Kentucky,Union,24.7,10.9
"Kentucky, Larue",Kentucky,Larue,25.5,11.6
"Kentucky, Elliott",Kentucky,Elliott,31.1,15.3
"Kansas, Clark",Kansas,Clark,15.5,7.0
"Kansas, Franklin",Kansas,Franklin,18.1,7.4
"Kansas, Republic",Kansas,Republic,15.8,8.3
"Kentucky, Logan",Kentucky,Logan,26.0,11.6
"Kansas, Jefferson",Kansas,Jefferson,17.5,7.1
"Kentucky, Wayne",Kentucky,Wayne,27.6,14.7
"Louisiana, Red River",Louisiana,Red River,24.8,11.2
"Kentucky, Madison",Kentucky,Madison,21.0,8.7
"Kentucky, Daviess",Kentucky,Daviess,22.6,9.8
"Kentucky, Bullitt",Kentucky,Bullitt,23.4,9.6
"Kentucky, Woodford",Kentucky,Woodford,18.9,8.8
"Kentucky, Harrison",Kentucky,Harrison,25.3,12.0
"Kentucky, Shelby",Kentucky,Shelby,20.6,8.7
"Kansas, Nemaha",Kansas,Nemaha,16.3,7.1
"Louisiana, Jefferson",Louisiana,Jefferson,18.5,7.3
"Kentucky, Washington",Kentucky,Washington,23.3,10.8
"Kentucky, Owsley",Kentucky,Owsley,29.4,15.2
"Kentucky, Powell",Kentucky,Powell,27.0,12.3
"Kansas, Norton",Kansas,Norton,18.1,7.6
"Kansas, Gray",Kansas,Gray,16.5,6.5
"Kansas, Seward",Kansas,Seward,17.2,5.8
"Kentucky, Leslie",Kentucky,Leslie,32.1,16.6
"Kentucky, Metcalfe",Kentucky,Metcalfe,29.2,14.4
