State_County,State,County,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_for_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days
"California, Imperial",California,Imperial,730.0,280.0,377.0,69.0,4.0,0.0,0.0
"California, Inyo",California,Inyo,730.0,451.0,245.0,11.0,7.0,6.0,10.0
"California, Kern",California,Kern,730.0,158.0,308.0,178.0,79.0,6.0,1.0
"California, Kings",California,Kings,730.0,242.0,349.0,123.0,13.0,1.0,2.0
"California, Lake",California,Lake,722.0,709.0,13.0,0.0,0.0,0.0,0.0
"California, Los Angeles",California,Los Angeles,730.0,100.0,426.0,128.0,71.0,5.0,0.0
"California, Madera",California,Madera,730.0,451.0,240.0,36.0,3.0,0.0,0.0
"California, Marin",California,Marin,728.0,668.0,59.0,1.0,0.0,0.0,0.0
"California, Mariposa",California,Mariposa,730.0,394.0,288.0,42.0,6.0,0.0,0.0
"California, Mendocino",California,Mendocino,726.0,496.0,229.0,1.0,0.0,0.0,0.0
"California, Merced",California,Merced,726.0,401.0,269.0,56.0,0.0,0.0,0.0
"California, Mono",California,Mono,730.0,590.0,109.0,10.0,2.0,1.0,18.0
"California, Monterey",California,Monterey,730.0,685.0,43.0,2.0,0.0,0.0,0.0
"California, Napa",California,Napa,728.0,589.0,134.0,5.0,0.0,0.0,0.0
"California, Nevada",California,Nevada,725.0,517.0,167.0,39.0,2.0,0.0,0.0
"California, Orange",California,Orange,730.0,339.0,350.0,36.0,5.0,0.0,0.0
"California, Placer",California,Placer,730.0,406.0,278.0,36.0,10.0,0.0,0.0
"California, Plumas",California,Plumas,460.0,325.0,126.0,9.0,0.0,0.0,0.0
"California, Riverside",California,Riverside,730.0,104.0,358.0,181.0,85.0,2.0,0.0
"California, Sacramento",California,Sacramento,730.0,375.0,282.0,51.0,22.0,0.0,0.0
"California, San Benito",California,San Benito,730.0,615.0,108.0,7.0,0.0,0.0,0.0
"California, San Bernardino",California,San Bernardino,730.0,122.0,335.0,137.0,120.0,16.0,0.0
"California, San Diego",California,San Diego,730.0,146.0,510.0,67.0,7.0,0.0,0.0
"California, San Francisco",California,San Francisco,730.0,509.0,215.0,6.0,0.0,0.0,0.0
"California, San Joaquin",California,San Joaquin,730.0,475.0,219.0,34.0,2.0,0.0,0.0
